item,quantity,report_value,artefact,artefact_value,verdict
1,CYCLE_ADD rho S8 (n=62),0.2906,A6_descriptor_bar,0.2906247639193171,match
1,CYCLE_ADD n S8,62,A6_descriptor_bar,62,match
1,CYCLE_ADD rho S8_no_sc009,-0.0258,A6_descriptor_bar,-0.0258230141951072,match
1,CYCLE_ADD n S8_no_sc009,43,A6_descriptor_bar,43,match
1,CYCLE_ADD p S8_no_sc009,0.8694,A6_descriptor_bar,0.8694395804995634,match
1,CYCLE_ADD const-composition rho (n=19),0.0491,A4_checks,0.0491228070175438,match
1,CYCLE_ADD const-composition n,19,A4_checks,19,match
1,CYCLE_ADD const-composition p,0.8417,A4_checks,0.8417115685641903,match
1,CYCLE_ADD varying-composition rho (n=43),0.4761,A4_checks,0.4761401389308366,match
1,CYCLE_ADD varying-composition n,43,A4_checks,43,match
1,CYCLE_ADD varying-composition p,0.0012,A4_checks,0.0012492071056488,match
1,FIXCYC_CONSTNLIGS S8 rho (Table 4c),0.339,checkB_fixedcycle_stats,0.3384704489939815,MISMATCH
1,FIXCYC_CONSTNLIGS S8 p,0.007,checkB_fixedcycle_stats,0.0071280196744381,match
1,FIXCYC_CONSTNLIGS S8 loco_min (report 'LOCO min +0.037'),0.037,checkB_fixedcycle_stats,0.0369978858350951,match
1,FIXCYC_ALL S8 rho (Table 4c),0.29,checkB_fixedcycle_stats,0.2896678502178238,match
1,FIXCYC_ALL S8 p,0.022,checkB_fixedcycle_stats,0.022393376486587,match
1,FIXCYC_ALL S8 loco_min (report 'LOCO min -0.026'),-0.026,checkB_fixedcycle_stats,-0.0256720024161884,match
3,competitor rho S8,-0.4158,A6_descriptor_bar,-0.4157773988772158,match
3,competitor n S8,61,A6_descriptor_bar,61,match
3,competitor rho S14,-0.4571,A6_descriptor_bar,-0.4571461864901693,match
3,competitor n S14,39,A6_descriptor_bar,39,match
3,competitor rho all82,-0.53,A6_descriptor_bar,-0.5299729567002173,match
3,competitor n all82,80,A6_descriptor_bar,80,match
3,competitor rho S8_no_sc009,-0.28,A6_descriptor_bar,-0.2800114020604504,match
3,competitor n S8_no_sc009,42,A6_descriptor_bar,42,match
3,max |rho| among Table 4a xTB estimators,,DECISION_REPORT Table 4a,0.644,info
3,max |rho| of the competitor over the sets quoted,,A6_descriptor_bar,0.5299729567002173,info
3,claim: competitor larger in magnitude than EVERY xTB estimator in Table 4a,True,computed,False,MISMATCH
2,perm null p95 max|rho| target a,0.608791,stage1_perm_null,0.6087912087912088,match
2,observed max|rho| target a,0.601651,stage1_perm_null,0.6016511867905057,match
2,observed argmax target a,slope__NAIVE__S14,stage1_perm_null,slope__NAIVE__S14,match
2,familywise p target a,0.0565,stage1_perm_null,0.0565,match
2,family size,12,stage1_perm_null,12,match
2,permutation unit count (chemotype-level),,stage1_perm_null,40,info
2,"same family, target b: observed vs bar",,stage1_perm_null,"obs 0.7503 > bar 0.6044, familywise p 0.003",info
2,extractant-level rho NAIVE/S14/a,0.644,contrasts_stage1,0.6439271255060729,match
2,chemotype-level rho NAIVE/S14/a (the perm statistic),0.6017,contrasts_stage1,0.6016511867905057,match
4,gamma n_H2O,-138.88,stage1_decision.json,-138.87532349058438,match
4,yardstick H2O,-139.22,stage1_decision.json,-139.21696626199946,match
4,|gamma_H2O - yardstick|,0.34,computed,0.34164277141508137,match
4,gamma n_NO3,-431.97,stage1_decision.json,-431.970549915437,match
4,yardstick NO3,-414.21,stage1_decision.json,-414.2090794340858,match
4,|gamma_NO3 - yardstick|,17.8,computed,17.761470481351182,match
5,fold-pure saved BP,0.906,foldpure.csv,0.9061309578489284,match
5,fold-pure E_random BP,5.52,foldpure.csv,5.515846236591023,match
5,fold-pure saved fraction BP (%),16.4,foldpure.csv,16.4277776968806,match
5,fold-pure share of perfect-sign ceiling (%),49.8,foldpure.csv,49.77906582059364,match
5,pooled share of perfect-sign ceiling (%),47.3,ceiling.csv,47.28283112553099,match
5,fold-pure as % of headline magnitude,46,computed,45.57498865836073,match
5,fold-pure n_tasks (report/CONFIRMATION say 455),455,foldpure.csv,2100,MISMATCH
5,foldpure_notes.json content,,refute_l3a_B_foldpure_notes.json,{},info
5,within-publication ceiling share (%),1.1,ceiling.csv,1.1175406909077101,match
5,within-publication perfect-sign ceiling,0.414,ceiling.csv,0.4137700939530207,match
6,LOWRANK2@k2 BP point,0.0151,contrasts_cov,0.0150880110598515,match
6,LOWRANK2@k2 BP ci low,0.0067,contrasts_cov,0.0066986045007415,match
6,LOWRANK2@k2 BP ci high,0.0232,contrasts_cov,0.0232273857278435,match
6,LOWRANK2@k2 BP p,0.002,contrasts_cov,0.002,match
6,LOWRANK2@k2 BP seeds,5,contrasts_cov,5,match
6,LOWRANK2@k2 BP LOCO stable,True,contrasts_cov,True,match
6,LOWRANK2@k2 design A p,0.3362,contrasts_cov,0.3362,match
6,LOWRANK2@k2 same sign in all five,True,contrasts_cov,True,match
6,LOWRANK2@k2 significant (p<0.05) in all five,n/a,contrasts_cov,False,MISMATCH
6,LOWRANK2@k3 BP point,0.0003,contrasts_cov,0.0002819002625874,match
6,LOWRANK2@k3 BP seeds,4,contrasts_cov,4,match
6,LOWRANK2@k3 BP LOCO stable,False,contrasts_cov,False,match
6,MIX6meanPC@k3 BP point,0.007,contrasts_mix,0.0070419538906454,match
6,MIX6meanPC@k3 BP p,0.0,contrasts_mix,0.0,match
7,total contrast rows,940,results/**/*contrast*.csv,940,match
7,registered rows,126,computed,126,match
7,exploratory rows,814,computed,814,match
7,_dry rows,80,results/L4/_dry,80,match
7,_dry registered rows,4,results/L4/_dry,4,match
7,rows excluding _dry,860,computed,860,match
7,registered excluding _dry,122,computed,122,match
7,exploratory excluding _dry,738,computed,738,match
7,rows in L1,,computed,90,info
7,rows in L2,,computed,20,info
7,rows in L3,,computed,85,info
