Ln,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
Ce,913,0.5851657025825692,0.5625923284916272,0.022573374090941956,0.7925864414054448,0.7574465393063998,0.03513990209904494,0.6562838129839272,0.690790939365772,0.03450712638184472
Dy,1123,0.3531351647060512,0.3456689789438859,0.007466185762165345,0.5415168090244638,0.5230630878299813,0.01845372119448241,0.7265560093742903,0.7376847124833492,0.01112870310905889
Er,1045,0.3697272097683148,0.3713167965457418,-0.0015895867774269878,0.5896145902464072,0.5789591263469717,0.010655463899435502,0.685558893625395,0.6654672201497768,-0.020091673475618244
Eu,949,0.36659545154338324,0.36220091897170176,0.0043945325716814865,0.5025375073463165,0.4919133242767854,0.010624183069531112,0.7971655060680041,0.7887624775395239,-0.008403028528480183
Gd,1144,0.36463692905822,0.35391304028849374,0.010723888769726242,0.4951773753929323,0.4763102388865262,0.01886713650640609,0.6905248448639442,0.6838422824782453,-0.006682562385698865
Ho,929,0.39086549460624676,0.3973774056058782,-0.006511910999631443,0.6078475211712072,0.6041228323658598,0.003724688805347376,0.7140294364472649,0.6999779890023622,-0.01405144744490272
La,923,0.6567248567491136,0.6417386479149838,0.014986208834129822,0.8946511758493576,0.8783126962831556,0.016338479566202047,0.5698404916679524,0.5894775138379383,0.019637022169985974
Lu,849,0.3587410437765387,0.3607257544342626,-0.001984710657723876,0.5632711210260485,0.5632747704100619,-3.6493840134266264e-06,0.722107956495195,0.6969225611217494,-0.02518539537344555
Nd,1095,0.5199649971089357,0.5088079610215498,0.011157036087385941,0.702372339030531,0.6805290917250933,0.02184324730543763,0.5995511723071779,0.6142006877148106,0.014649515407632707
Pr,704,0.43691599110405704,0.43614628385626486,0.000769707247792184,0.6034329770037947,0.5871548516006675,0.01627812540312723,0.7676782591672061,0.7820939460575373,0.014415686890331236
Sm,1120,0.41889399973679864,0.4103501773279274,0.008543822408871249,0.544658423448412,0.5347146321380976,0.00994379131031442,0.6771337974588824,0.6876977607617117,0.010563963302829382
Tb,897,0.3517730772500381,0.35694444142002646,-0.005171364169988368,0.5239349498493147,0.5123807039673449,0.011554245881969738,0.7918018427301337,0.7667138128181674,-0.025088029911966236
Tm,827,0.3490335402424692,0.354412207975382,-0.00537866773291279,0.58067897400928,0.580342567600986,0.000336406408294021,0.7447753816829079,0.7191343813147093,-0.025641000368198608
Yb,880,0.35611047996758133,0.35827340708890265,-0.002162927121321323,0.5680344831161197,0.566265230853739,0.0017692522623806717,0.7588515984791185,0.7478159036468286,-0.011035694832289944
