ablation,n_rows,mae,rmse,r2,pearson,spearman,fold_mae_mean,fold_mae_sample_sd,fold_rmse_mean,fold_rmse_sample_sd,fold_r2_mean,fold_r2_sample_sd,fold_pearson_mean,fold_pearson_sample_sd,fold_spearman_mean,fold_spearman_sample_sd,macro_group_mae
A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526443,-0.035352130645358706,-0.04966995886165329,0.6283638275465184,0.23987451673163537,0.9104516021064306,0.2658233691181214,-0.6697151491077745,0.26778178592707264,-0.009995038568886316,0.1853112393801697,0.0017335459157549749,0.20241913615437232,0.635955683807689
A1,6699,0.4847497763794679,0.7206472778702255,0.0499794633948093,0.47630686207588474,0.2961073976625697,0.417323857712637,0.13880502884785595,0.5907280519707035,0.19788488795630443,0.20035463218679866,0.5149765258158787,0.6437753531308015,0.2196820066621996,0.5355403908552377,0.2596127752769314,0.3463592657109536
A2,6699,0.4194475439725999,0.6154888797939159,0.30700848969309336,0.597838570257536,0.5710008426762399,0.38019107366381516,0.10163688137481759,0.5476217694399924,0.1443257195062241,0.3041886167959304,0.4144868920788611,0.6770542942471794,0.1568199840631671,0.6457650323392387,0.1918128924279818,0.31562001921832605
A3,6699,0.49408617865229165,0.759321090385876,-0.05472300327241175,0.3937242738341405,0.2786708299103842,0.4272942609318246,0.14557148181759733,0.6183359329208779,0.21887487669072592,0.113304670213734,0.5967766093799396,0.577015537094877,0.3059910992259928,0.5146686198560086,0.312034311302669,0.36391248063415554
A4,6699,0.4210646890774574,0.6146344870126669,0.3089311109122296,0.5960599413266617,0.5745796735900222,0.38481700124553686,0.09580382895817782,0.5482756540178005,0.1424566185728982,0.3096819803326193,0.39171304241831345,0.6724606676290948,0.15297977000878782,0.6421831801692719,0.19189416994505254,0.32705444640374215
A5,6699,0.41487919145751057,0.6021074115239077,0.3368138638327367,0.6128307418337454,0.5780800331943078,0.38132757877431234,0.09227085962908854,0.5418043607083315,0.13643999767645584,0.3348228078432753,0.34992424174216524,0.678027762441075,0.13854930482168082,0.6423434246918164,0.18912136870574256,0.32749200266337347
A6,6699,0.41309577641853895,0.5992117921789231,0.34317723684145374,0.6168065507642219,0.5891493470778725,0.38275083364826656,0.08658694254988734,0.5448325707437631,0.12833190482727558,0.3271240568531494,0.3414711111966349,0.6788260988603161,0.1299944465945295,0.6462512274661426,0.1854512727322325,0.3331310937843637
A2+D1,6699,0.41517178176862524,0.6061277696579963,0.32792791697411827,0.6083572761885578,0.5857474749429595,0.37914405757960934,0.09979213549887718,0.540859827291581,0.14262935813617822,0.3259144154487827,0.389351341600878,0.6801549620194841,0.15168139033485264,0.6510451360954816,0.1921407593567019,0.3225026533364074
A2+D2,6699,0.42027425800131274,0.615677349153555,0.30658402170606014,0.5953697479604549,0.5781353028308825,0.3819959980252393,0.10064351569322885,0.5464023298800228,0.14684199806306172,0.30985478060585486,0.4028810065133642,0.6747762955297815,0.15823171565472988,0.6485366349066314,0.18802860563344675,0.32156265790167093
A2+D3,6699,0.42281752086695473,0.6195464782123785,0.29784130573583223,0.5949846073041904,0.5555901279125629,0.38086040347420685,0.10243308437693278,0.5486010762329809,0.14774585693353096,0.31186722067857375,0.3857191134361542,0.6742320352083929,0.153576286240395,0.6394047241970803,0.18371770027794554,0.31535279641797664
A2+D4,6699,0.42077664969556744,0.616042207767467,0.3057619230588281,0.5945869818496835,0.5750085876262238,0.38359137197832255,0.09884090155901602,0.549532185157705,0.1438504579617712,0.3052433899404049,0.39633488918088494,0.6713585022583579,0.15478068902494696,0.6446583730347613,0.18943598373979095,0.3220241469066935
A2+D5,6699,0.4189799882657163,0.6133780259289434,0.3117536458502197,0.6013657395125265,0.5769544932475216,0.3794098543232698,0.10121155307628539,0.5441077256102325,0.14252075516733498,0.314746302294702,0.4008962061812925,0.6785436595533636,0.1570951765994552,0.6501651525192421,0.19111778461226028,0.31719071436498814
A5_SHUFFLED_s1009,6699,0.41703957978539014,0.6003688506158599,0.34063818110137645,0.6145642131746409,0.5811458321278982,0.385828463063703,0.09310475017408787,0.5430440491893356,0.13541184328454525,0.3254480176268473,0.3704189034860225,0.6801566330512663,0.13821949741251344,0.6415897681090369,0.1872810646896389,0.3313392009627722
A5_SHUFFLED_s2017,6699,0.4215849914547258,0.6152491121331624,0.30754830314885506,0.5936557966404205,0.572740533198126,0.3849635348638873,0.09984719180608445,0.546552910529579,0.14739700310188938,0.3090905872648627,0.40592013426058227,0.6702563967268456,0.16475775074810137,0.6415219936327665,0.1937587478366324,0.3256842161734624
