arm,design,seed,metric,aggregation,value,n_units,n_rows,n_seeds,half,seed_set
B0,V5,104729,coverage_50,row_pooled,0.435991,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,coverage_50,unit_macro,0.42046,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,width_50,row_pooled,2.17721,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,width_50,unit_macro,2.19636,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,coverage_80,row_pooled,0.773958,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,coverage_80,unit_macro,0.72834,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,width_80,row_pooled,4.19161,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,width_80,unit_macro,4.23242,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,coverage_95,row_pooled,0.931724,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,coverage_95,unit_macro,0.885824,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,width_95,row_pooled,5.91703,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,104729,width_95,unit_macro,5.99655,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,coverage_50,row_pooled,0.435991,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,coverage_50,unit_macro,0.42046,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,width_50,row_pooled,2.17721,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,width_50,unit_macro,2.19636,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,coverage_80,row_pooled,0.773958,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,coverage_80,unit_macro,0.72834,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,width_80,row_pooled,4.19161,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,width_80,unit_macro,4.23242,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,coverage_95,row_pooled,0.931724,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,coverage_95,unit_macro,0.885824,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,width_95,row_pooled,5.91703,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B0,V5,mean_of_seeds,width_95,unit_macro,5.99655,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,coverage_50,row_pooled,0.494757,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,coverage_50,unit_macro,0.542233,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,width_50,row_pooled,1.06236,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,width_50,unit_macro,1.07168,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,coverage_80,row_pooled,0.788344,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,coverage_80,unit_macro,0.82983,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,width_80,row_pooled,3.26876,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,width_80,unit_macro,3.27023,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,coverage_95,row_pooled,0.940502,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,coverage_95,unit_macro,0.951689,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,width_95,row_pooled,6.14757,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,104729,width_95,unit_macro,6.03506,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,coverage_50,row_pooled,0.494757,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,coverage_50,unit_macro,0.542233,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,width_50,row_pooled,1.06236,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,width_50,unit_macro,1.07168,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,coverage_80,row_pooled,0.788344,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,coverage_80,unit_macro,0.82983,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,width_80,row_pooled,3.26876,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,width_80,unit_macro,3.27023,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,coverage_95,row_pooled,0.940502,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,coverage_95,unit_macro,0.951689,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,width_95,row_pooled,6.14757,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3x,V5,mean_of_seeds,width_95,unit_macro,6.03506,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,coverage_50,row_pooled,0.5089,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,coverage_50,unit_macro,0.544414,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,width_50,row_pooled,0.997824,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,width_50,unit_macro,1.01469,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,coverage_80,row_pooled,0.793221,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,coverage_80,unit_macro,0.835489,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,width_80,row_pooled,3.10054,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,width_80,unit_macro,3.10677,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,coverage_95,row_pooled,0.943672,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,coverage_95,unit_macro,0.953185,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,width_95,row_pooled,5.96867,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,104729,width_95,unit_macro,5.84988,105,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
B3i,V5,mean_of_seeds,coverage_50,row_pooled,0.5089,4101,4101,1,selection,discovery seed 104729 only (addendum 1 item 3)
