family,claim,job,design,variant,unit_variant,unit_reading,half,metric,averaging_unit,comparator,candidate,seed_set,status,comparator_macro,candidate_macro,contrast,cluster_unit,clustered,decides,point,percentile_low,percentile_high,bca_low,bca_high,p_two_sided,bootstrap_sd,mde_80,bias_z0,acceleration,loco_min,loco_max,n_units,n_clusters,n_resamples,bootstrap_seed,n_nan_draws,higher_is_better,tost_verdict_eps0.05,tost_low_90,tost_high_90
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B0,B3x,deterministic,exploratory,1.52619,0.826925,B3x vs B0,system,True,False,0.699268,0.290501,1.18778,0.334839,1.30212,0,0.231305,0.647655,0.0481459,0.0628497,0.514847,0.78317,105,18,10000,19,0,False,PASS,0.33723,1.18264
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B0,B3x,deterministic,exploratory,1.52619,0.826925,B3x vs B0,publication_group,True,False,0.699268,0.269852,1.15667,0.336002,1.28101,0,0.229787,0.643404,0.0797954,0.0743285,0.507162,0.77897,105,27,10000,19,0,False,PASS,0.320091,1.17836
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B0,B3x,deterministic,exploratory,1.52619,0.826925,B3x vs B0,unit (unclustered reference; never decides),False,False,0.699268,0.517494,0.896464,0.523928,0.907205,0,0.096066,0.268985,0.00300796,0.0172311,0.668899,0.713299,105,105,10000,19,0,False,,,
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B0,B3i,deterministic,exploratory,1.52619,0.767015,B3i vs B0,system,True,False,0.759178,0.33946,1.25211,0.384297,1.36859,0,0.234789,0.65741,0.0461383,0.0669855,0.571614,0.843051,105,18,10000,19,0,False,PASS,0.385552,1.24995
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B0,B3i,deterministic,exploratory,1.52619,0.767015,B3i vs B0,publication_group,True,False,0.759178,0.318538,1.23113,0.385766,1.35612,0,0.236092,0.661057,0.0820587,0.0724502,0.563474,0.843051,105,27,10000,19,0,False,PASS,0.370339,1.2499
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B0,B3i,deterministic,exploratory,1.52619,0.767015,B3i vs B0,unit (unclustered reference; never decides),False,False,0.759178,0.58101,0.955546,0.58369,0.960337,0,0.0948964,0.26571,-0.0117814,0.0170455,0.729385,0.77231,105,105,10000,19,0,False,,,
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B3x,B3i,deterministic,exploratory,0.826925,0.767015,B3i vs B3x,system,True,False,0.0599097,0.0211531,0.0881267,0.0264931,0.0918001,0.0038,0.0171138,0.0479186,0.0338459,0.049376,0.046573,0.0651404,105,18,10000,19,0,False,PASS,0.0282848,0.0868122
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B3x,B3i,deterministic,exploratory,0.826925,0.767015,B3i vs B3x,publication_group,True,False,0.0599097,0.0275679,0.0931013,0.0281294,0.093482,0.0006,0.0166112,0.0465113,0.00726929,0.0049947,0.0539034,0.0652925,105,27,10000,19,0,False,PASS,0.0331346,0.0879878
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B3x,B3i,deterministic,exploratory,0.826925,0.767015,B3i vs B3x,unit (unclustered reference; never decides),False,False,0.0599097,0.0324504,0.0885696,0.0340871,0.0907273,0,0.0143707,0.040238,0.0190515,0.0224822,0.0545771,0.064527,105,105,10000,19,0,False,,,
DESCRIPTIVE_baseline_difficulty,none (pre-seal baseline difficulty; not an R19 contrast),V5__primary,V5,primary,registered_unit,registered: hidden cell,selection,mae,g19_metal_state+extractant_system_key,B3x,B3l,deterministic,exploratory,0.826925,1.1881,B3l vs B3x,system,True,False,-0.361173,-0.649412,-0.100564,-0.734141,-0.150237,0.0062,0.139146,0.389608,-0.0649673,-0.0738655,-0.419638,-0.242821,105,18,10000,19,0,False,UNDECIDED,-0.665723,-0.144863
