extractant,n_cells,amp_mean,amp_sd,name
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,63,-0.8436260332849758,0.5352424093292334,TODGA
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,27,-0.5600353838532434,0.7758484035140556,DMDODGA
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,20,-0.09834256068690372,0.0961102067070656,DHD2DGA
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,-0.7220850755278131,0.1514813283603892,C5BTBP
CCN(CC)C(=O)COCC(=O)N(CC)CC,12,0.08300987437916645,0.6993346829368414,TEDGA
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,11,-0.6492390217139333,0.8954312982597723,DMDPDGA
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,11,-0.5697627729525335,0.19754016448003428,DBD1MHDGA
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,11,-0.8245760274654205,0.921926012179227,TDdDGA
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,10,0.9010585160193312,0.5548593803167522,DOODA (C12)
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,-0.20731440638117832,0.2720416037053897,DMDPhPDA
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,8,-0.8056109291950369,0.3261159348364884,TPrDGA
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,5,-0.7111960851002408,0.2733906253134008,TBDGA
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,5,-0.3602650024298633,0.0646531025822667,mTDDGA
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,4,-0.2769462251915232,0.04082267461379379,T2EHDGA
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,3,-0.5515188349302709,0.19912193964268815,DMDO-HPyranDGA
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,2,-0.2474608551290981,0.0,THDGA
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,2,0.9482500662773989,0.6051699207256506,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,2,0.06228213488881352,0.1529901931530258,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,2,0.9788200527229883,1.5185897296836337,DOODA (C8)
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2,0.2968799502805022,0.12071693601689187,2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,2,0.08949855991340674,0.04206053175765177,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1,-1.3309870353215543,,DODDdDGA
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,1,-0.16555438700881547,,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,1,-1.1439339583395163,,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,1,-0.8163743991830493,,DMDdecHDGA
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,1,-0.5921349461189462,,cPSNDGA
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.3368589257104626,,6-MH-C9-B8D(iB)CMPO
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1,-0.2915092882205742,,TIBDGA
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1,-0.41347681814696813,,DMDdecdDGA
C1COCCOCCOCCOCCOCCO1,1,0.1711787531736182,,1-4-7-10-13-16-hexaoxacyclooctadecane
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,1,0.19163273416357945,,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1,-1.1619342897926832,,8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,1,-0.46292617623012966,,DMDetHDGA
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.3557710959292096,,2-EH-C9-B8D(iB)CMPO
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1,-0.8227606068958184,,DPDODGA
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,1,-0.7449008531665898,,DODHtDGA
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1,-0.7552764560114249,,DEDODGA
