section,quantity,quoted_value,artefact_path,artefact_value,abs_diff,verdict
header,PRE_REGISTRATION body sha256,d004c30388078ae97232af2537a1915360360a7cb9eda07ebe4076764c48f50e,gen16_leads/PRE_REGISTRATION.md,d004c30388078ae97232af2537a1915360360a7cb9eda07ebe4076764c48f50e,,match
1,G13_ET_TOPO39 BP,0.7683085207475452,gen16_leads/results/anchors/anchors.json,0.7683085207475452,0.0,match
1,G14 BP macro MAE,0.5000794414203691,gen16_leads/results/anchors/anchors.json,0.5000794414203691,0.0,match
1,FLAT BP macro MAE,0.5885062528901843,gen16_leads/results/anchors/anchors.json,0.5885062528901843,0.0,match
1,G14-FLAT BP point,0.0884,gen16_leads/results/anchors/anchors.json,0.08842681146981521,2.6811469815202216e-05,match
1,G14-FLAT BP CI low,0.0010,gen16_leads/results/anchors/anchors.json,0.0010109793474018833,1.0979347401883239e-05,match
1,G14-FLAT BP CI high,0.1473,gen16_leads/results/anchors/anchors.json,0.1473098028341974,9.802834197408794e-06,match
1,G14-FLAT BP p,0.047,gen16_leads/results/anchors/anchors.json,0.0468,0.0001999999999999988,match
1,contrast rows L1,90,L1/contrasts_stage1.csv,90,0.0,match
1,contrast rows L2,20,L2/gate_contrasts.csv,20,0.0,match
1,contrast rows L3,85,L3/l3a_contrasts.csv; L3/l3c_contrasts.csv,85,0.0,match
1,contrast rows L4,435,L4/contrasts_abc.csv; L4/contrasts_cellmatched.csv; L4/contrasts_nodga.csv; L4/contrasts_per_budget.csv,435,0.0,match
1,contrast rows L5,230,L5/calibration_direction_contrasts.csv; L5/contrasts_cov.csv; L5/contrasts_mix.csv,230,0.0,match
1,total contrast rows (incl. L4/_dry dry-run),940,results/**/contrasts_*.csv,940,0.0,match
1,total contrast rows summed over the five itemised leads,940,results/**/contrasts_*.csv (L1+L2+L3+L4+L5 as itemised in the report),860,80.0,mismatch
1,registered rows,126,results/**/contrasts_*.csv,126,0.0,match
1,exploratory rows,814,results/**/contrasts_*.csv,814,0.0,match
1,"BH q, registered family (n=126)",0.039,results/**/contrasts_*.csv,0.03910344827586207,0.00010344827586206834,match
1,"BH q, all 940",0.025,results/**/contrasts_*.csv,0.02525373134328358,0.00025373134328357874,match
1,rows produced by the cited glob results/*/contrasts_*.csv,940,results/*/contrasts_*.csv (literal glob as printed in the report),730,210.0,mismatch
1,lead contrast files carrying a BH-adjusted p column,all,results/**/contrasts_*.csv,"missing in: L2/gate_contrasts.csv, L3/l3a_contrasts.csv, L3/l3c_contrasts.csv",,mismatch
2a,saved B discovery,2.207,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,2.206544553690845,0.0004554463091550609,match
2a,saved B disc CI low,0.521,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,0.5207022547142526,0.00029774528574744163,match
2a,saved B disc CI high,4.118,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,4.117731795599427,0.0002682044005730688,match
2a,saved B confirmation,2.086,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,2.085716626414775,0.00028337358522501077,match
2a,saved B conf CI low,0.234,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,0.2342561914168805,0.0002561914168804913,match
2a,saved B conf CI high,4.17,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,4.169863971713069,0.00013602828693048963,match
2a,saved BR discovery,2.149,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,2.1492837329594243,0.00028373295942429877,match
2a,saved BR disc CI low,0.455,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,0.4549873551833919,1.2644816608120557e-05,match
2a,saved BR disc CI high,3.985,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,3.984879465635062,0.0001205343649379742,match
2a,saved BR confirmation,2.17,gen16_leads/results/confirmation/discovery_vs_confirmation.csv,2.1703631936784973,0.0003631936784973533,match
