design,comparison,point,ci95_low,ci95_high,p_two_sided,seeds_positive,n_seeds,loco_stable,loco_min,loco_max,passes_P1,family,lead,model,set,target,value,stage,n_units,partial_rho_n_metals,ci_excludes_zero,rho_chemotype_means,clears_familywise_bar,passes_L1_rule,p_bh_within_family
corpus,stage2:NAIVE_slope_vs_a@S8,-0.09314799425851779,-0.5110164689854381,0.22008509877115293,0.47146992173951274,,0,True,-0.2752944729688916,-0.02395109752709086,False,exploratory,L1,NAIVE,S8,a,slope,stage2,62,-0.10139756530902017,False,-0.08866995073891623,False,False,0.9132543372605205
corpus,stage2:NAIVE_slope_vs_abs_a@S8,-0.059102012036967085,-0.2853860245929525,0.28614687156170726,0.648175560380127,,0,False,-0.11492081133648238,0.06312292358803986,False,exploratory,L1,NAIVE,S8,abs_a,slope,stage2,62,-0.03705815497820274,False,0.11477832512315268,False,False,0.9132543372605205
corpus,stage2:NAIVE_slope_vs_b@S8,-0.18657298985167836,-0.4900257669586631,0.10819540244623552,0.1465117655790769,,0,True,-0.3038356991845364,-0.10423786739576214,False,exploratory,L1,NAIVE,S8,b,slope,stage2,62,-0.22336810958849598,False,0.005911330049261082,False,False,0.7584138453505158
corpus,stage2:NAIVE_slope_vs_a@S14,-0.04149797570850203,-0.5354926477314307,0.23476233392994122,0.8019447581397868,,0,False,-0.2530769230769231,0.04504504504504505,False,exploratory,L1,NAIVE,S14,a,slope,stage2,39,-0.044861930462605844,False,-0.05675954592363261,False,False,0.9467033605990902
corpus,stage2:NAIVE_slope_vs_abs_a@S14,-0.08846153846153848,-0.3736776070823002,0.28489284477396076,0.5922903685418219,,0,False,-0.1721194879089616,0.012044817927170869,False,exploratory,L1,NAIVE,S14,abs_a,slope,stage2,39,-0.05929560063949812,False,0.10835913312693499,False,False,0.9132543372605205
corpus,stage2:NAIVE_slope_vs_b@S14,-0.1348178137651822,-0.6134192486893569,0.22020196843046777,0.41319171657064385,,0,False,-0.3476923076923077,0.021848739495798318,False,exploratory,L1,NAIVE,S14,b,slope,stage2,39,-0.18926466395429248,False,-0.15995872033023736,False,False,0.9132543372605205
corpus,stage2:NAIVE_slope_vs_a@S3,-0.19518970189701898,-0.5047151211690066,0.09509425723066821,0.08076895342501003,,0,True,-0.2922575286843644,-0.12800357537199641,False,exploratory,L1,NAIVE,S3,a,slope,stage2,81,-0.18237418843084724,False,-0.1493927125506073,False,False,0.6312527813311551
corpus,stage2:NAIVE_slope_vs_abs_a@S3,0.06946702800361336,-0.1424443179615018,0.330905503909676,0.5377421050865471,,0,False,-0.00212944949787055,0.1546956227506229,False,exploratory,L1,NAIVE,S3,abs_a,slope,stage2,81,0.030764558312626925,False,0.17044534412955467,False,False,0.9132543372605205
corpus,stage2:NAIVE_slope_vs_b@S3,-0.15397470641373082,-0.47317140714606915,0.12688090826002874,0.1699285724294529,,0,True,-0.28678212187394264,-0.07334770492665228,False,exploratory,L1,NAIVE,S3,b,slope,stage2,81,-0.1384016360398236,False,-0.13927125506072877,False,False,0.830761909655103
corpus,stage2:ELEM_slope_vs_a@S8,0.243584900909068,-0.2995428207364998,0.4830257359657191,0.056416951771382874,,0,False,-0.0012080942313500453,0.28742310321257697,False,exploratory,L1,ELEM,S8,a,slope,stage2,62,0.2276694821381578,False,0.09753694581280786,False,False,0.6312527813311551
