feature,deployment_delta3d_blend_weight,component,interpretation,importance
delta3d__feat3d__polyhedron__donor_atomic_number_04,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.15352507136473093
delta3d__feat3d__polyhedron__donor_atomic_number_09,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.08728576399517855
pair__delta_Z,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.08353953095771323
pair__delta_ionic_radius,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.06714231963593778
delta3d__feat3d__polyhedron__donor_angle_03_05_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.020746586051809065
delta3d__feat3d__polyhedron__donor_angle_06_08_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01923241077528503
delta3d__feat3d__polyhedron__donor_angle_08_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.016345408878771187
pair__Z_B,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.014452822400482747
base__cond__acid_concentration_M,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01328025325453871
pair__Z_mean,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01248647455708599
pair__ionic_radius_A,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012252499815321893
base__MolLogP,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00971628190273136
delta3d__feat3d__complex_physical__coordination_number,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009423800255876658
pair__ionic_radius_mean,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00929541591231602
pair__Z_A,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009023133982141704
pair__ionic_radius_B,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008943576618795987
base__cond__extractant_concentration_M,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00853584094650263
base__MolWt,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008388528709036312
base__ecfp_1911,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007686371913533812
delta3d__feat3d__polyhedron__donor_angle_01_06_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007144843899114576
delta3d__feat3d__polyhedron__donor_angle_06_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.0069399343190400704
delta3d__feat3d__polyhedron__coordination_number,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006606391790038863
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_07,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006519462043102849
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_01,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.0062948323780507055
base__cond__diluent__n_dodecane,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006175166776534209
base__cond__metal_concentration_mM,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00609278954451138
