comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
A2_vs_A5,A2,A5,0,0.013818171192615136,0.03167839143266049,0.13238943784113832,0.007486529996427627
A2_vs_A5,A2,A5,1,-0.01261344240514134,-0.007597184754166597,-0.018381092614839223,-0.018370784124093764
A2_vs_A5,A2,A5,2,-0.02180588173519532,-0.02149958593340462,-0.03100378359372513,-0.004863956612449316
A2_vs_A5,A2,A5,3,0.01767624721273503,0.024565686858695757,0.067258110584129,-0.010451210360372554
A2_vs_A5,A2,A5,4,-0.0027576198174993904,0.0019397360545192477,0.0029082830200208853,0.009091382863376407
A2_vs_A6,A2,A6,0,0.012197378948166415,0.0285215824820374,0.11952561544764917,0.011335283678480024
A2_vs_A6,A2,A6,1,-0.02521518249234944,-0.027899883381565627,-0.06937377651160925,-0.026620650297677906
A2_vs_A6,A2,A6,2,-0.025344319888949474,-0.026116975791830144,-0.037801057185723574,-0.007010200974027048
A2_vs_A6,A2,A6,3,0.02686202219290701,0.03548187066958708,0.09640351980564943,0.01820049708623761
A2_vs_A6,A2,A6,4,-0.0012986986820314184,0.003959399502918126,0.005922898730128967,0.006526046141507091
A3_vs_A2,A3,A2,0,0.005672530097589945,-0.031121203492278537,-0.13012422090410847,0.02247954588929646
A3_vs_A2,A3,A2,1,0.027144549935580464,0.06375445081251807,0.16607791025786645,0.04719750427437608
A3_vs_A2,A3,A2,2,0.047174091098314885,0.045969569565511015,0.06758486187620771,0.021655777342275306
A3_vs_A2,A3,A2,3,0.14115416141363912,0.24830850903412338,0.8096225655883946,0.5432078358858681
A3_vs_A2,A3,A2,4,0.014370603794922998,0.026659491484552655,0.04125861609262205,0.02094139902433423
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,0,0.005267696670964772,0.015513756042587867,0.06575105881385324,0.007965271539896845
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,1,-0.018294034706455742,-0.010996112187625529,-0.026728123605191167,-0.04325437903356055
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,2,-0.03679321326364343,-0.021968713635817094,-0.031692149611121545,-0.0072347660716757245
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,3,0.02076696846581616,0.031492133821445445,0.08580414681805304,0.012180839667653265
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,4,0.0008656358338792747,0.008847537212693934,0.013162071738990644,0.009466712746677763
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,0,-0.0016795816159887456,0.006800593938157129,0.029039100957103603,-0.0032492261753596097
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,1,-0.010082385688819917,-0.0025572222517487586,-0.006144526512740556,-0.02274734818214652
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,2,-0.019447343952678053,-0.012267037970658201,-0.017559593518709615,0.0001592433316397468
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,3,0.0036455036994670342,-0.00045892420057291883,-0.0012784804643126702,-0.00293294274693201
A2_vs_A5_SHUFFLED_s2017,A2,A5_SHUFFLED_s2017,4,0.003701501557658804,0.013826885036890224,0.020453351883320647,0.00755508024043805
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,0,0.00595867477315537,0.01725102411989632,0.07300450347780929,-0.000155666387837039
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,1,-0.013206869225752926,-0.0034393535770319006,-0.008274144899976021,-0.02047721196972796
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,2,-0.01758098919278156,-0.006008330223680525,-0.008557344685240276,0.004009187217422161
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,3,0.02114934335353713,0.030136368862774154,0.08218845937359531,0.02434240888597161
A2_vs_A5_SHUFFLED_s3019,A2,A5_SHUFFLED_s3019,4,-0.0007735561358234722,0.008663979330885752,0.012891686784505918,0.011754142599260997
A2_vs_A2+D1,A2,A2+D1,0,0.004997210074373093,0.014304547903047027,0.060689350937082054,0.0033549104924824324
