ablation,n_rows,mae,rmse,r2,pearson,spearman,fold_mae_mean,fold_mae_sample_sd,fold_rmse_mean,fold_rmse_sample_sd,fold_r2_mean,fold_r2_sample_sd,fold_pearson_mean,fold_pearson_sample_sd,fold_spearman_mean,fold_spearman_sample_sd,macro_group_mae
A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526443,-0.14041154685862384,-0.15132830871358122,0.6283638275465184,0.23987451673163537,0.9104516021064306,0.2658233691181214,-0.6697151491077745,0.26778178592707264,-0.05408843028359558,0.2796591961007362,-0.12513652548527382,0.23403872708673013,0.635955683807689
A1,6699,0.4789282314539339,0.7110100261650817,0.0752189064798261,0.4878185648281585,0.31873511940264376,0.4148822934134901,0.13282171249149669,0.588445445732926,0.18867780886027424,0.20874414050318046,0.4881120008937819,0.6479507027593636,0.20543968760426734,0.5440235843302512,0.2330091976810698,0.34627634824042974
A2,6699,0.4155549170373346,0.6074581373377612,0.32497446643281624,0.6095560017089267,0.5752312348372092,0.37833350922762177,0.0982489339849972,0.5435232466349775,0.14014075724270697,0.31523151234598934,0.4042112344544102,0.6823593683648201,0.14903352910517856,0.6463066656541987,0.18990909305799042,0.31644229490997167
A3,6699,0.48570387137031323,0.7421471881454085,-0.007552268604883672,0.41858729511324655,0.3044553173054767,0.4229269438368758,0.13989907495995801,0.6119381932941172,0.20793641361977983,0.13883754830160003,0.5507775073123906,0.5919704254015379,0.274926535770944,0.5289008116505283,0.29059147000835656,0.3620938702574074
A4,6699,0.41896551347412836,0.610093610500589,0.3191045283649375,0.6029173957631241,0.5766055908315253,0.3826246736301348,0.09682676993309897,0.5446417563253646,0.14320491547926473,0.31855834446152737,0.388089111732118,0.6778250886520266,0.14861537804242742,0.6446354509824668,0.18850630207818359,0.3256800718331448
A5,6699,0.41655481550879725,0.6045346760762195,0.3314561060543082,0.6088635512900251,0.5764124586529111,0.38336797667916156,0.09302249244830614,0.543920199951881,0.13911521769505553,0.32864188581229564,0.3567030572918713,0.6752464552285968,0.14022623458727781,0.6401982292239126,0.1904060048000969,0.33179551727196166
A6,6699,0.4137177489933822,0.6002417996430338,0.3409172218824259,0.6138875322699917,0.5814522011261075,0.38207565193824944,0.09208590191959676,0.5416192624757896,0.13835004325095074,0.3378094669639331,0.3447728333724692,0.6779203899437004,0.1353466783529922,0.6402700992930355,0.191558603334546,0.3322704953850006
A2+D1,6699,0.41798424649732985,0.6104310421893677,0.3183511382563582,0.6019161323138885,0.5880011640166841,0.382313095640042,0.09937367934839339,0.5450763695389058,0.1420819412567809,0.31754733156239345,0.3872800718223201,0.6742143581763377,0.15246649662279632,0.6506354915012352,0.18997015618682372,0.32516367983306427
A2+D2,6699,0.41738897918246526,0.6078657939667786,0.3240681621104141,0.6056618375543602,0.5800687541296042,0.3814400435828652,0.09577228577254118,0.5431634467568421,0.14027533722353375,0.31874291577344654,0.39284772864354445,0.6787423692065542,0.15043587344196674,0.6459645414727487,0.18914500235070708,0.323686331083914
A2+D3,6699,0.41759337175909816,0.6088095728256132,0.32196761487278336,0.6094353462264923,0.564430902970971,0.3799342770299627,0.09731309224936066,0.5466006209943187,0.14077883706228717,0.316311971223649,0.3814706124043658,0.6793008931590736,0.14055795426950668,0.6417170975056437,0.1890115629250317,0.3180463943945589
A2+D4,6699,0.41803199615049674,0.6109544302164103,0.3171817357343164,0.6022530757161491,0.5794588730353627,0.3821858665029481,0.0977617100557062,0.5460544082455654,0.14147011873258983,0.3103938649315844,0.4014158212505851,0.6765235005331152,0.1522408304336486,0.6468188855047315,0.19266822173150083,0.3234907829234801
A2+D5,6699,0.4189606240617255,0.6140288720540217,0.31029229540649417,0.5994918116713684,0.5829444054579692,0.38015858069532255,0.1012129267948553,0.544608426387501,0.14536841720734503,0.3130549021725705,0.4052698760577294,0.6763545307281429,0.1591115295750023,0.6522975855697869,0.19234220101379215,0.31848220960322715
A5_SHUFFLED_s1009,6699,0.419614607931295,0.6068065503220708,0.32642181547939,0.6048121855738977,0.5757679970496913,0.3859653423942655,0.09540715149913558,0.5451962747467691,0.13902439724751495,0.3178980516317037,0.38158441503984103,0.675729991947266,0.14635310288188946,0.6386881087692211,0.18942374612779478,0.32884197039474633
A5_SHUFFLED_s2017,6699,0.4198618546505029,0.609308427529868,0.32085600876219733,0.6029101626258843,0.5780278570048971,0.38604385432435523,0.09494987429793957,0.5464973630641501,0.14053876006324806,0.3114727864427941,0.3948707650394126,0.6739174172205111,0.15062175928628213,0.6413817357229424,0.19402397027278603,0.3274430534547089
A5_SHUFFLED_s3019,6699,0.41833229833079555,0.603672490575114,0.33336169671349913,0.610132662049924,0.5811187634746058,0.38515194513807666,0.09117356576500771,0.542735692537107,0.13572217196112582,0.32291455916993295,0.37841555384320164,0.6786485979925616,0.14399139546425055,0.6449148421182667,0.19342588402692967,0.33050881996142284
