Ln,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
Ce,913,0.5698124953422953,0.5709405927972866,-0.001128097454991317,0.7689471730407613,0.7671227393256416,0.0018244337151197554,0.6848169487983716,0.6801054001601784,-0.00471154863819323
Dy,1123,0.3499178177642469,0.3464305785529461,0.0034872392113007855,0.5353752655932142,0.5244144476237327,0.010960817969481562,0.7287878165841182,0.7373039414050637,0.008516124820945548
Er,1045,0.36591727491623194,0.37316246478977916,-0.00724518987354722,0.5803037361382923,0.5826660372146125,-0.0023623010763201835,0.6868836651612302,0.6632431224076529,-0.0236405427535773
Eu,949,0.3637262338368664,0.3655497216670106,-0.0018234878301441881,0.4994373786490212,0.49588872843233,0.003548650216691207,0.7998912821018501,0.7827698826418622,-0.017121399459987918
Gd,1144,0.3642097525652662,0.35514057935585236,0.009069173209413861,0.4933148285335292,0.47888445391653767,0.014430374616991537,0.6915694696107751,0.684244035232247,-0.007325434378528173
Ho,929,0.38889494051121976,0.39560432145306956,-0.006709380941849807,0.6016722926153915,0.6035898556740039,-0.0019175630586124592,0.7137839895666072,0.7024098205814372,-0.011374168985169963
La,923,0.6439884699199118,0.6408033845885676,0.0031850853313442062,0.8753672979630863,0.8766249666874198,-0.0012576687243335272,0.5951699246736066,0.5854200886239267,-0.009749836049679939
Lu,849,0.35450800156435797,0.3605577971960873,-0.00604979563172936,0.5542206294673037,0.5623660115293975,-0.008145382062093809,0.7195918971713696,0.6955009095733906,-0.024090987597979008
Nd,1095,0.5182120171183403,0.5107597860258974,0.0074522310924428625,0.6991282515339912,0.6838321545133971,0.01529609702059409,0.6050058071112178,0.6064699372762605,0.0014641301650427652
Pr,704,0.4361118052397892,0.439547976778024,-0.003436171538234778,0.60451767921209,0.5925567664914788,0.011960912720611172,0.770075848718406,0.7784500313340383,0.008374182615632386
Sm,1120,0.42037779925562707,0.4141852084351228,0.0061925908205042735,0.5455769562109781,0.5382703821832686,0.0073065740277095115,0.6748021539848397,0.6877497540249347,0.012947600040094986
Tb,897,0.3516536060819914,0.3568128166334094,-0.005159210551417992,0.5217337494375172,0.5119376772084593,0.009796072229057873,0.7878815592601747,0.7684006311385456,-0.01948092812162905
Tm,827,0.3432235651140419,0.3546814529567439,-0.01145788784270202,0.5678924098682356,0.5829954761907605,-0.015103066322524894,0.746833063337659,0.72847489297999,-0.018358170357668957
Yb,880,0.3510946899232197,0.3596176040456024,-0.008522914122382708,0.5581022387837118,0.5677720853808654,-0.009669846597153642,0.7591573924443058,0.7452771510714252,-0.013880241372880575
