ablation,n_rows,mae,rmse,r2,pearson,spearman,fold_mae_mean,fold_mae_sample_sd,fold_rmse_mean,fold_rmse_sample_sd,fold_r2_mean,fold_r2_sample_sd,fold_pearson_mean,fold_pearson_sample_sd,fold_spearman_mean,fold_spearman_sample_sd,macro_group_mae
A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526443,-0.04871861441463744,0.03189333176582671,0.6278330012032175,0.18030702130970566,0.9207972458310929,0.2129367238093445,-0.6474711461070768,0.21372532290299162,0.02937065262404136,0.22417812715443963,0.04678719901256555,0.24797003478184573,0.635955683807689
A1,6699,0.4648087318307517,0.6953865940073276,0.11541388051801171,0.5118506865300418,0.3803262825292523,0.40163232450329095,0.13164424337673739,0.5759347843417044,0.18712606946024132,0.2819987094935229,0.47006549824366883,0.6868255118543497,0.20530018013945597,0.6013603852350673,0.18195928368318484,0.330063845679687
A2,6699,0.41221938461903646,0.6007293998451475,0.33984598883482375,0.6190502106098885,0.5848007642036224,0.37260379185664716,0.09739634798728156,0.5315659217373186,0.14397109835871186,0.40654240262892866,0.29110573365501213,0.7053178967299283,0.13587862512518836,0.6668328897912541,0.10966301284328803,0.3025720290863975
A3,6699,0.4964984152051452,0.7646515661789162,-0.06958340817633579,0.3979318718261855,0.2750492461270554,0.4229790102005547,0.15214562045056845,0.6118311022637959,0.2307688352982083,0.1763847188412823,0.6244996943141237,0.6083982294897128,0.31592895675761595,0.538098561605499,0.29182608404711624,0.3518674318903856
A4,6699,0.41399354729720267,0.6035643291349203,0.333600561662704,0.6120804960983156,0.5930980320787973,0.3779650751571698,0.09193044454576975,0.5371032106643832,0.14177515957011197,0.39926229199163293,0.27820344198502106,0.694996248686866,0.13425179588443859,0.6620697445247633,0.10072893578422702,0.31536244001080144
A5,6699,0.41733268651383315,0.6072022366892589,0.32554307545017036,0.605400717521368,0.5795787027059904,0.3821313283530218,0.09263697454539489,0.541928575074052,0.1455907955188712,0.39055280719843877,0.27960271532357345,0.6890202080501142,0.13509666470340276,0.6541453698961728,0.11920097674220831,0.32166110120638863
A6,6699,0.4125641130942295,0.5999022448713363,0.3416626927990817,0.614773124180117,0.5798487294216057,0.3784578793283353,0.0881316945211573,0.5381661218821595,0.13867933272441893,0.4023348514636867,0.25729110623882007,0.6986146005389378,0.12387125865115686,0.6578533161947078,0.11407223882576632,0.31980281950817036
A2+D1,6699,0.41045902129557116,0.5988403694298643,0.3439912505517453,0.6181675192316235,0.5931029215103886,0.3733907746451161,0.09595007805780756,0.5310494654772044,0.142444011269792,0.4106445485775498,0.28149827592497967,0.7064100475620264,0.13580894045974046,0.6669133010066896,0.11082318174685149,0.31202277652349064
A2+D2,6699,0.41356885090119794,0.6018563399338357,0.33736682989420663,0.6147476370631799,0.5906022125331333,0.3758593029499143,0.09511026337909544,0.5332472617673922,0.14279619502144383,0.40140520390863993,0.2955556591507921,0.7016589723223392,0.13919181528579636,0.6682508468328621,0.11385428974775445,0.31002367595531866
A2+D3,6699,0.4127403461911788,0.6025765774618791,0.33577994343083784,0.6169563131884852,0.5741242948599347,0.3741740610393326,0.09374529140912101,0.5383088015965719,0.14297946982869492,0.3968265169220537,0.2785474514155933,0.6983071803453657,0.12851874195204127,0.6591645553100953,0.11696572797285926,0.3063517998122663
A2+D4,6699,0.4208093462085969,0.6160210007827839,0.3058097199229627,0.5945932523703487,0.5765970410285937,0.3801678832736862,0.10044610798438577,0.5405394035933913,0.15110594005943476,0.38052120754739904,0.3226733129273247,0.6900374316815815,0.15831739089887645,0.6612838716211863,0.11726003870454035,0.3117829094902797
A2+D5,6699,0.4159265664350542,0.6073806109263833,0.32514675474225807,0.6071482867580783,0.5885168123697856,0.37621520708207,0.09739347937183182,0.5348549717992521,0.1457006288655774,0.39182613660321897,0.3175718067370969,0.6971697172125855,0.15040535527798612,0.6673667521249678,0.12001278957909985,0.3075922466646333
A5_SHUFFLED_s1009,6699,0.4115665034755412,0.5940689291952564,0.35440349618257827,0.6226461765167335,0.5890080333656702,0.376947084003844,0.08844733361775374,0.5310247754630316,0.13337305096612284,0.40995042217173266,0.2735694233282669,0.7056932003378277,0.12926348441869387,0.6572576035658008,0.12014717329216272,0.3174900481579764
A5_SHUFFLED_s2017,6699,0.4168191415818325,0.6052789598353207,0.3298089129703662,0.6089827941885273,0.5876855489650611,0.3806143975743871,0.09325359728244582,0.5377739257347856,0.14427504263926572,0.3972139934418092,0.2842661624740983,0.6963976512515478,0.13714509112748127,0.6636680179425134,0.11503831027877114,0.31603473120157577
A5_SHUFFLED_s3019,6699,0.4144097505835622,0.5982040651297531,0.3453846082536868,0.6176101042003991,0.5933182006383791,0.38045522072586807,0.08999330180089365,0.5345930680076245,0.13635743930932187,0.40156630640541574,0.2819045966059758,0.6984651263548709,0.13248461757384358,0.6631348071571254,0.11444008929836533,0.32167878033857566
