Ln,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
Ce,913,0.5521740400190416,0.5581437629783303,-0.00596972295928877,0.7589058181061732,0.7617701775053747,-0.002864359399201488,0.7158309287210339,0.711573201628173,-0.004257727092860986
Dy,1123,0.3482723816578945,0.3503827844719313,-0.0021104028140367936,0.5297644462775707,0.5284321694522325,0.0013322768253382078,0.7309013777599149,0.7307200075482639,-0.00018137021165098854
Er,1045,0.36531383698708836,0.37808511034894554,-0.012771273361857183,0.5755475858041611,0.589068943902657,-0.013521358098495861,0.6939276710777091,0.6636481559936149,-0.03027951508409421
Eu,949,0.36651557108662985,0.3654955540648849,0.0010200170217449789,0.49655599587002397,0.49009463574481343,0.006461360125210536,0.8007565699632886,0.7858425493331377,-0.014914020630150904
Gd,1144,0.36472952439109024,0.3549623025444827,0.009767221846607554,0.4897802659810812,0.47385678192376346,0.01592348405731775,0.685336820946608,0.6762769425521816,-0.009059878394426346
Ho,929,0.386504647948992,0.3998088636679929,-0.013304215719000922,0.5965256993130412,0.611528810732226,-0.015003111419184756,0.7202668338744289,0.6954893292392678,-0.02477750463516115
La,923,0.6123845581827244,0.6280413269604281,-0.015656768777703722,0.849042237689807,0.8808939269040673,-0.03185168921426029,0.6460452337425435,0.6262861140376375,-0.01975911970490607
Lu,849,0.3559507443331755,0.36635741335137056,-0.010406669018195092,0.5490141521509694,0.572575030042152,-0.023560877891182663,0.7195379951373644,0.6917638135971824,-0.027774181540181964
Nd,1095,0.520211053887822,0.5150606960337138,0.005150357854108112,0.6988056139540841,0.6879228509548553,0.010882762999228857,0.6067762519621128,0.6048264334232548,-0.0019498185388580058
Pr,704,0.41811248443118776,0.427331905122919,-0.009219420691731262,0.5889477961557861,0.588145633556871,0.0008021625989150794,0.7887593496000548,0.791681945255537,0.002922595655482252
Sm,1120,0.42415274612453335,0.4178560968519182,0.00629664927261514,0.5439554622764243,0.5380407197998593,0.0059147424765649825,0.6754360286133491,0.6837025283333066,0.00826649971995752
Tb,897,0.35402694681376334,0.360286324277279,-0.006259377463515681,0.5178355422791927,0.5155944933425776,0.002241048936615142,0.7855536438053389,0.7639573882218588,-0.021596255583480106
Tm,827,0.34417898181104073,0.3628902226828991,-0.01871124087185838,0.5640664681069769,0.5922993521039385,-0.028232883996961555,0.7512641858808828,0.7189290148525135,-0.03233517102836936
Yb,880,0.3558138800324035,0.36598419792909004,-0.010170317896686543,0.557611247453353,0.5764631702642592,-0.018851922810906196,0.756860608778224,0.7392195206724335,-0.01764108810579057
