comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
LEARNED_BLEND[geometry] vs MEDOID,-0.005683255366374144,-0.01567627259774707,0.006898184196841007,-0.01531173379690485,0.007593342793833574,-0.009306080936714275,143,53,0,5
LEARNED_BLEND[geometry] vs CENTRAL,-0.002547425432483872,-0.004939248619978388,0.0005871424842692038,-0.005556684310103215,5.45465592311356e-05,-0.0021666415097792977,143,29,0,5
LEARNED_BLEND[geometry] vs RANDOM,0.05742298281733782,0.017918836735750312,0.08562438726633052,0.02574912000034095,0.09367209884987589,0.034669405991923474,143,90,5,5
LEARNED_BLEND[geometry] vs MIN_GP_DESIGN_VAR,0.021380343916143216,-0.009718140040576893,0.0411353349968367,-0.004023449223583573,0.044865745476127566,0.00647580656921314,143,71,5,5
LEARNED_BLEND[geometry+prediction] vs MEDOID,-0.009726906616014924,-0.01945070494834607,0.0040809910520670616,-0.02015335174353978,0.003247021921475003,-0.011055597642052646,143,47,0,5
LEARNED_BLEND[geometry+prediction] vs CENTRAL,-0.0065910766821246514,-0.011076564853995533,-0.00022569045395088764,-0.01270524204122932,-0.0013968003874534846,-0.003916158215117671,143,36,0,5
LEARNED_BLEND[geometry+prediction] vs RANDOM,0.05337933156769704,0.015420601792158945,0.08006827253481133,0.023378006868148518,0.08720029020671378,0.0329198892865851,143,90,5,5
LEARNED_BLEND[geometry+prediction] vs MIN_GP_DESIGN_VAR,0.017336692666502427,-0.011204815490697403,0.03532182182642516,-0.0059992767920392116,0.03807089409952938,0.004726289863874768,143,70,5,5
LEARNED_SCALAR[geometry] vs MEDOID,-0.01185815167741734,-0.03340062860334509,0.020313859181805845,-0.03652551892109951,0.015158299062906309,0.0031697037769108224,143,69,1,5
LEARNED_SCALAR[geometry] vs CENTRAL,-0.008722321743527066,-0.028409343789193093,0.02137909617932077,-0.030882632560712022,0.01698516736181927,0.010309143203845801,143,71,2,5
LEARNED_SCALAR[geometry] vs RANDOM,0.05124808650629462,0.015180598581741969,0.0767009689633601,0.021843837849196607,0.08333538797097258,0.04714519070554858,143,97,5,5
LEARNED_SCALAR[geometry] vs MIN_GP_DESIGN_VAR,0.01520544760510002,-0.011978120021482179,0.03631238798983588,-0.010934547126790043,0.037198666424189855,0.01895159128283824,143,80,4,5
LEARNED_RANK[geometry] vs MEDOID,-0.01928128030761459,-0.037762227378855345,0.0053611569386465534,-0.039052274852830034,0.0034236095302373256,-0.023037072610631135,143,72,1,5
LEARNED_RANK[geometry] vs CENTRAL,-0.016145450373724318,-0.034162556840120754,0.006031332996151144,-0.03628968192715223,0.0036420626815493813,-0.01589763318369616,143,70,1,5
LEARNED_RANK[geometry] vs RANDOM,0.043824957876097366,0.003947900373963942,0.06951211255861282,0.01094318486481865,0.07480698519918835,0.020938414318006617,143,90,5,5
LEARNED_RANK[geometry] vs MIN_GP_DESIGN_VAR,0.007782318974902759,-0.02635504098706721,0.030883796705931287,-0.024552744921176074,0.03164394736078807,-0.00725518510470372,143,85,4,5
LEARNED_RANK[geometry+prediction] vs MEDOID,-0.025101636275265043,-0.04713410932634744,-0.002978979174301858,-0.04746435894975789,-0.0032698845178023377,-0.03295170398241297,143,62,0,5
LEARNED_RANK[geometry+prediction] vs CENTRAL,-0.02196580634137477,-0.04433847309819081,-0.001602867711974261,-0.04859292782622219,-0.0032625288421178726,-0.025812264555478,143,67,0,5
LEARNED_RANK[geometry+prediction] vs RANDOM,0.03800460190844692,-0.007468522739441405,0.06829735455090535,0.002119178912812339,0.07510347808951619,0.011023782946224775,143,89,5,5
LEARNED_RANK[geometry+prediction] vs MIN_GP_DESIGN_VAR,0.0019619630072523196,-0.036315593906392496,0.025670854730165265,-0.030839577440677363,0.029114031927675935,-0.017169816476485557,143,80,3,5
LEARNED_SCALAR[geometry+prediction] vs MEDOID,-0.03665369271987847,-0.06470373340716297,0.006453213137662587,-0.07272341748966567,-0.0030623132580605223,-0.014162256230728199,143,53,0,5
LEARNED_SCALAR[geometry+prediction] vs CENTRAL,-0.0335178627859882,-0.05898359695828235,0.00795852233169629,-0.06580309256077031,-0.0019214127358747808,-0.007022816803793223,143,58,0,5
LEARNED_SCALAR[geometry+prediction] vs RANDOM,0.02645254546383348,-0.002081592192730806,0.05388393992847758,0.0021125764584876616,0.05938903393917805,0.02981323069790955,143,92,5,5
LEARNED_SCALAR[geometry+prediction] vs MIN_GP_DESIGN_VAR,-0.00959009343736111,-0.028961265749988495,0.01604197327637523,-0.027928888165833495,0.017734465581080702,0.0016196312751992163,143,72,2,5
ORACLE vs LEARNED_BLEND[geometry],0.1714619492889414,0.13414173968073023,0.20209105679508724,0.13861142125021544,0.20552998904021408,0.1685701572832438,143,143,5,5
