severity,section,report_text,report_value,artefact,artefact_value,note
fatal,"4 / headline finding 2 / 11.2 / 12","attenuation-free corrections ... rho = +0.29 / +0.34 / +0.45",+0.29..+0.45,results/refutation/L1NULL/A/A4_checks.csv,"CYCLE_ADD S8 all82=+0.2906; no_sc009 (n=43) = -0.0258 p=0.87; sc009-only (n=19) = +0.663","the attenuation-free positives are carried entirely by the diglycolamides"
fatal,"4","attenuation-free corrections ... +0.34 / +0.45",+0.34/+0.45,results/refutation/L1NULL/B/checkB_fixedcycle_stats.csv,"FIXCYC_CONSTNLIGS S8 rho_no_sc009=+0.0370 (n=43); S14 rho_no_sc009=+0.0200 (n=25)","same collapse under the mandated diglycolamide control"
fatal,"4","attenuation-free ... above the 0.25 closed threshold",n/a,results/refutation/L1NULL/A/A4_checks.csv,"CYCLE_ADD S8 constant n_ligs (n=19) = +0.049; varying n_ligs (n=43) = +0.476","the positive lives only where the composition step varies - gen15's artefact"
major,"2 Table 2c","rebuilt one fold at a time (fold purity) | magnitude falls | dents the magnitude",no number given,results/refutation/L3A/B/refute_l3a_B_foldpure.csv,"BP fold_pure saved=+0.9061 of E_random 5.516 (16.4%) vs pooled +1.9882 of 6.906 (28.8%)","the leak-free magnitude is 46% of the quoted one and is never printed"
major,"4 / 9","(no cheapest-competitor row for L1)",absent,results/refutation/L1NULL/B/checkE_competitor.csv,"frac_donor_pairs_within_3: rho=-0.530 (n=80), -0.416 on S8 (n=61)","registered cheapest competitor omitted; it beats every xTB estimator on S8"
major,"4","(registered family-wise permutation null not reported)",absent,results/L1/stage1_perm_null.csv,"null_p95_max|rho|=0.6088; observed max=0.6017; familywise p=0.0565; clears_familywise_bar False for all 15 rows","a registered statistic missing from the report; nothing in L1 clears its own bar"
major,"1","940 contrast rows: 126 registered, 814 exploratory (L1 90, L2 20, L3 85, L4 435, L5 230)","components sum to 860","results/refutation/L3A/B/refute_l3a_B_withinpub_notes.json","refuter's independent count: 860 total, 122 registered, 738 exploratory","the extra 80 rows are L4/_dry (a dry run), unlabelled in the breakdown"
major,"2 / 9 / CONFIRMATION 3","registered rule met in all five designs / passes P1",percentile CI only,gen16/l3_decision.py:618,"passes_P1 = point>=0.02 and ci[0]>0 and p_boot<0.05 and seeds_positive>=4 and loco_stable","P1 as sealed needs BOTH intervals; no BCa was computed for the confirmed claim; 2000 not 10000 reps"
minor,"5","only design A excludes zero",percentile only,results/L2/gate_contrasts.csv,"BP bca_low = +5.7e-6 (>0); mde_80 = 0.0386 against a registered margin of 0.02","both registered intervals must be printed; L2's MDE exceeds its own margin"
minor,"11.4","above a family-wise bar that was set for a different family",qualitative,results/audit/claims_scope_protocol/composition_familywise_bar.json,"correct bar over the 44 searched comparisons: p95=0.645, p99=0.734; observed 0.8325; familywise p=0.000","the multiplicity objection to the composition-position finding does not hold"
minor,"12 lead 1","reach rho = +0.78 to +0.83 against the amplitude with no energy in them",+0.78..+0.83,results/refutation/L1NULL/B/checkD_composition_stats.csv,"rho(steppos_n_H2O, naive xTB slope) = +0.861 (S14), +0.792 (S8)","it is the composition step gen15 already identified, not an independent observable"
