comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_refit_vs_A2_lig2d,A2_refit,A2_lig2d,0.0048256181796087795,-0.017169418537428344,0.02762800919500162,0.642,16,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s75,A2_refit,SCALE_s75,0.002357192724750016,-0.012222708298616287,0.018130082693841802,0.6045,19,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s100,A2_refit,SCALE_s100,-0.008045777409937161,-0.019867156281958336,0.002305820813893068,0.063,14,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50_lig2d,A2_refit,SCALE_s50_lig2d,-0.012171763915668486,-0.04991342485000243,0.029080999982591033,0.254,13,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s100_lig2d,A2_refit,SCALE_s100_lig2d,-0.004725535537684063,-0.027956551803803232,0.01828203164446374,0.318,15,34,2000,8675309,extractant,True,True
A2_refit_vs_PRIOR,A2_refit,PRIOR,0.00980892470879155,-0.0018199747778343052,0.02234469579473794,0.953,21,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_refit_TP,A2_refit,A2_refit_TP,0.0004536711820271759,-0.0016946544967690533,0.0025516320103879404,0.656,20,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_lig2d_TP,A2_refit,A2_lig2d_TP,0.006815546249409983,-0.015599552279241338,0.029105475576648093,0.7025,15,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s75_TP,A2_refit,SCALE_s75_TP,0.0030514372972945624,-0.011376035701527796,0.018957419730161552,0.633,19,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s100_TP,A2_refit,SCALE_s100_TP,-0.007523113730043873,-0.01950094284936717,0.003039653355719728,0.0865,14,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s50_lig2d_TP,A2_refit,SCALE_s50_lig2d_TP,-0.012678139342776517,-0.05117821370063913,0.029010849051962165,0.249,14,34,2000,8675309,extractant,True,True
A2_refit_vs_SCALE_s100_lig2d_TP,A2_refit,SCALE_s100_lig2d_TP,-0.004427683157229497,-0.028403845094585635,0.019292902537467564,0.333,16,34,2000,8675309,extractant,True,True
A2_refit_vs_PRIOR_TP,A2_refit,PRIOR_TP,0.01181208817716044,-0.000123749239274886,0.024955689501787972,0.97,21,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_run,A2_refit,A2_run,-0.00044537180530084274,-0.00364168933644666,0.003236297690878279,0.377,15,34,2000,8675309,extractant,True,True
A2_refit_vs_A2_run_TP,A2_refit,A2_run_TP,-0.00017489620357586283,-0.0039643225818387934,0.004144001518255607,0.4405,15,34,2000,8675309,extractant,True,True
A2_refit_vs_PAIRMEAN_baseline,A2_refit,PAIRMEAN_baseline,-0.13704390076102416,-0.201617136737047,-0.0776941218096651,0.0,10,34,2000,8675309,extractant,True,True
