comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
A2_vs_A5,A2,A5,0,0.0005132368272408039,0.01582767952901798,0.06609476797656666,-0.009037220763750298
A2_vs_A5,A2,A5,1,-0.02198406411375564,-0.020756784422661545,-0.05184039907107785,-0.0124096428102769
A2_vs_A5,A2,A5,2,-0.023130428073529608,-0.02912655061677849,-0.042476041074029136,-0.007458802277327092
A2_vs_A5,A2,A5,3,0.008636215266906833,0.007447771726626584,0.02054131710261009,-0.007455265927531762
A2_vs_A5,A2,A5,4,0.0005644189556056056,0.0042585577079942705,0.006333723915343148,0.005930635064061551
A2_vs_A6,A2,A6,0,0.004972606740263563,0.021638764388341114,0.0899017520940748,-0.002784472660046222
A2_vs_A6,A2,A6,1,-0.02306966593932208,-0.022198944653471553,-0.055547968446214124,-0.0170963472655018
A2_vs_A6,A2,A6,2,-0.023755013698132044,-0.029171950115805978,-0.04254377166653622,-0.00826213845388235
A2_vs_A6,A2,A6,3,0.020182359441570707,0.024254634994640867,0.06611466346455264,0.0104003080217967
A2_vs_A6,A2,A6,4,5.946461362971167e-05,0.0026536179709832353,0.003953899967735208,0.003623852609850209
A3_vs_A2,A3,A2,0,0.008791254931187986,-0.02633430896034683,-0.1089582822001951,0.024210584450495565
A3_vs_A2,A3,A2,1,0.023807359859747967,0.05661033420610251,0.14808972880064708,0.03494566192527582
A3_vs_A2,A3,A2,2,0.04381821354082688,0.04449493606320587,0.06567467549942896,0.02192220241065368
A3_vs_A2,A3,A2,3,0.1279776274677371,0.23121508970749727,0.7433988168783014,0.4906803437123871
A3_vs_A2,A3,A2,4,0.014853291968162707,0.027966330792734084,0.043116011861920045,0.029557289271700093
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,0,-0.004474827407092041,0.0027535195162841086,0.011629970574917214,-0.00780456973617033
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,1,-0.01720815636059536,-0.006373718167564435,-0.015615642769115867,-0.03637119554976476
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,2,-0.02288257975318969,-0.007333552057842363,-0.010510899118711836,-0.0021002874150828355
A2_vs_A5_SHUFFLED_s1009,A2,A5_SHUFFLED_s1009,3,0.0152319900287467,0.01977934251876512,0.05408520453613064,0.007153487128172542
