id_a,id_b,pub_a,pub_b,tier_a,tier_b,duplicate_class_a,duplicate_class_b,log_D_a,log_D_b,abs_delta_log_D,same_publication,same_duplicate_group,both_ab_group,near_dup_sig6,strict_key_equal_sig6,key_id_sig6,near_dup_sig3,strict_key_equal_sig3,key_id_sig3,both_model,strict_sig6,strict_sig3,metal_state_a,extractant_name_a,entry_author_a,location_a,publication_refs_a,metal_state_b,extractant_name_b,entry_author_b,location_b,publication_refs_b,acid_primary,acid_M,extractant_M,temperature_C,solvent_key
SAE:2302,SAE:2564,pub_04794d6d09,pub_0773be699f,MODEL,MODEL,E_VALUE_CONFLICT,E_VALUE_CONFLICT,1.37731,1.38021,0.00290499,False,True,False,True,True,k_5f5d4e85aeb0,True,True,k_5f5d4e85aeb0,True,True,True,Am(?),TODGA,Aurora Clark,table1,10.1524/ract.2006.94.6.307,Am(?),TODGA,Aurora Clark,table5,10.1081/sei-200066296,HNO3,1,0.1,25,dodecane:1
SAE:2302,SAE:2568,pub_04794d6d09,pub_0773be699f,MODEL,MODEL,E_VALUE_CONFLICT,E_VALUE_CONFLICT,1.37731,1.38021,0.00290499,False,True,False,True,True,k_5f5d4e85aeb0,True,True,k_5f5d4e85aeb0,True,True,True,Am(?),TODGA,Aurora Clark,table1,10.1524/ract.2006.94.6.307,Am(?),TODGA,Aurora Clark,table4,10.1081/sei-200066296,HNO3,1,0.1,25,dodecane:1
SAE:2302,SAE:2573,pub_04794d6d09,pub_0773be699f,MODEL,MODEL,E_VALUE_CONFLICT,UNIQUE,1.37731,1.37763,0.000324947,False,False,False,False,,,True,True,k_5f5d4e85aeb0,True,False,True,Am(?),TODGA,Aurora Clark,table1,10.1524/ract.2006.94.6.307,Am(?),TODGA,Aurora Clark,fig2,10.1081/sei-200066296,HNO3,1,0.1,25,dodecane:1
SAE:3850,SAE:3919,pub_04794d6d09,pub_0773be699f,MODEL,MODEL,E_VALUE_CONFLICT,E_VALUE_CONFLICT,-0.524329,-0.522879,0.00145007,False,True,False,True,True,k_9d794ebf6a03,True,True,k_9d794ebf6a03,True,True,True,Am(?),TODGA,Aurora Clark,fig4,10.1524/ract.2006.94.6.307,Am(?),TODGA,Aurora Clark,table4,10.1081/sei-200066296,HNO3,1,0.1,25,toluene:1
SAE:13145,SAE:2319,pub_0773be699f,pub_d59c40b453,MODEL,MODEL,UNIQUE,UNIQUE,2.53659,2.53494,0.00164902,False,False,False,False,,,True,False,k_570206a9b80a,True,False,False,Am(III),TODGA,Thomas Summers,fig4,10.1081/sei-200066296,Am(III),TODGA,Aurora Clark,fig5,10.1007/s10967-010-0467-y,HNO3,5.99411,0.1,25,dodecane:1
SAE:11308,SAE:13164,pub_0c3788daa5,pub_0773be699f,MODEL,MODEL,UNIQUE,UNIQUE,2.44105,2.43638,0.00466633,False,False,False,False,,,True,True,k_271c5c339a87,True,False,True,Am(III),TODGA,Thomas Summers,fig2,10.1080/07366291003685383,Am(III),TODGA,Thomas Summers,fig8,10.1081/sei-200066296,HNO3,2.98885,0.1,25,dodecane:1
SAE:6121,SAE:6222,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.680336,0.680336,0,False,False,False,True,False,k_6c651d469540,True,False,k_6c651d469540,True,False,False,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,20,dodecane:1
SAE:6122,SAE:6223,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.558709,0.558709,0,False,False,False,True,False,k_a07bc7d2e8b2,True,False,k_a07bc7d2e8b2,True,False,False,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,30,dodecane:1
SAE:6123,SAE:6224,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.447158,0.447158,0,False,False,False,True,False,k_c31853ff7b31,True,False,k_c31853ff7b31,True,False,False,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,40,dodecane:1
SAE:6124,SAE:6225,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.346353,0.346353,0,False,False,False,True,False,k_21cb9d115964,True,False,k_21cb9d115964,True,False,False,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,50,dodecane:1
SAE:6125,SAE:6234,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.800717,0.800717,0,False,False,False,True,False,k_771c0cf9e3db,True,False,k_771c0cf9e3db,True,False,False,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,20,dodecane:1
SAE:6126,SAE:6235,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.621176,0.621176,0,False,False,False,True,False,k_dac33031a01d,True,False,k_dac33031a01d,True,False,False,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,30,dodecane:1
SAE:6127,SAE:6236,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.466868,0.466868,0,False,False,False,True,False,k_7dffff6f569c,True,False,k_7dffff6f569c,True,False,False,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,40,dodecane:1
SAE:6128,SAE:6237,pub_0ddbd861aa,pub_2bad7139d7,MODEL,MODEL,UNIQUE,UNIQUE,0.428135,0.428135,0,False,False,False,True,False,k_d3e7decfa090,True,False,k_d3e7decfa090,True,False,False,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/07366290008934681,Pu(IV),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.1999.85.34.103,HNO3,3.5,0.5,50,dodecane:1
SAE:2164,SAE:2302,pub_227fd56641,pub_04794d6d09,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.37702,1.37731,0.000290122,False,False,False,False,,,True,True,k_5f5d4e85aeb0,True,False,True,Am(?),TODGA,Aurora Clark,fig3,10.1007/s10967-012-1905-9,Am(?),TODGA,Aurora Clark,table1,10.1524/ract.2006.94.6.307,HNO3,1.0009,0.1,25,dodecane:1
SAE:2161,SAE:2566,pub_227fd56641,pub_0773be699f,MODEL,MODEL,UNIQUE,UNIQUE,-1.88306,-1.88606,0.00299213,False,False,False,False,,,True,True,k_4596749f037b,True,False,True,Am(?),TODGA,Aurora Clark,fig3,10.1007/s10967-012-1905-9,Am(?),TODGA,Aurora Clark,table5,10.1081/sei-200066296,HNO3,0.1003,0.1,25,dodecane:1
SAE:2164,SAE:2564,pub_227fd56641,pub_0773be699f,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.37702,1.38021,0.00319511,False,False,False,False,,,True,True,k_5f5d4e85aeb0,True,False,True,Am(?),TODGA,Aurora Clark,fig3,10.1007/s10967-012-1905-9,Am(?),TODGA,Aurora Clark,table5,10.1081/sei-200066296,HNO3,1.0009,0.1,25,dodecane:1
SAE:2164,SAE:2568,pub_227fd56641,pub_0773be699f,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.37702,1.38021,0.00319511,False,False,False,False,,,True,True,k_5f5d4e85aeb0,True,False,True,Am(?),TODGA,Aurora Clark,fig3,10.1007/s10967-012-1905-9,Am(?),TODGA,Aurora Clark,table4,10.1081/sei-200066296,HNO3,1.0009,0.1,25,dodecane:1
SAE:2164,SAE:2573,pub_227fd56641,pub_0773be699f,MODEL,MODEL,UNIQUE,UNIQUE,1.37702,1.37763,0.000615069,False,False,False,False,,,True,True,k_5f5d4e85aeb0,True,False,True,Am(?),TODGA,Aurora Clark,fig3,10.1007/s10967-012-1905-9,Am(?),TODGA,Aurora Clark,fig2,10.1081/sei-200066296,HNO3,1.0009,0.1,25,dodecane:1
SAE:2167,SAE:2563,pub_227fd56641,pub_0773be699f,MODEL,MODEL,UNIQUE,UNIQUE,2.22984,2.233,0.0031574,False,False,False,False,,,True,True,k_944234db2e08,True,False,True,Am(?),TODGA,Aurora Clark,fig3,10.1007/s10967-012-1905-9,Am(?),TODGA,Aurora Clark,table5,10.1081/sei-200066296,HNO3,1.9991,0.1,25,dodecane:1
SAE:2160,SAE:2454,pub_227fd56641,pub_88fa4f0145,MODEL,MODEL,C_POSSIBLE_INDEPENDENT_REPLICATE,C_POSSIBLE_INDEPENDENT_REPLICATE,-0.0579919,-0.0579919,0,False,True,False,True,True,k_1ad437c53a02,True,True,k_1ad437c53a02,True,True,True,Nd(?),TODGA,Aurora Clark,table4,10.1007/s10967-012-1905-9,Nd(?),TODGA,Aurora Clark,table1,10.1080/07366299.2013.866857,HNO3,4,0.1,25,dodecane:1
SAE:6661,SAE:6746,pub_286445e212,pub_c5c230f0ad,MODEL,MODEL,UNIQUE,UNIQUE,0.566914,0.568202,0.00128723,False,False,False,True,True,k_1b7a6c271c0e,True,True,k_1b7a6c271c0e,True,True,True,U(VI),DEHiBA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-120004806,U(VI),DEHiBA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-120030396,HNO3,4,1,25,dodecane:1
SAE:11457,SAE:9889,pub_2e9f2dbea9,pub_d0b02bd751,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.81291,1.81291,0,False,False,False,True,False,k_4ff696f906a5,True,False,k_4ff696f906a5,True,False,False,Am(III),TODGA,Thomas Summers,table3,10.1080/07366299.2012.700591,Am(III),TODGA,Thomas Summers,,10.1016/j.proche.2012.10.061,HNO3,3,0.2,22,exxsol d80:1
SAE:11458,SAE:9890,pub_2e9f2dbea9,pub_d0b02bd751,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.62325,1.62325,0,False,False,False,True,False,k_4ff696f906a5,True,False,k_4ff696f906a5,True,False,False,Am(III),TODGA,Thomas Summers,table3,10.1080/07366299.2012.700591,Am(III),TODGA,Thomas Summers,,10.1016/j.proche.2012.10.061,HNO3,3,0.2,22,exxsol d80:1
SAE:11459,SAE:9891,pub_2e9f2dbea9,pub_d0b02bd751,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.60206,1.60206,0,False,False,False,True,False,k_4ff696f906a5,True,False,k_4ff696f906a5,True,False,False,Am(III),TODGA,Thomas Summers,table3,10.1080/07366299.2012.700591,Am(III),TODGA,Thomas Summers,,10.1016/j.proche.2012.10.061,HNO3,3,0.2,22,exxsol d80:1
SAE:11461,SAE:9892,pub_2e9f2dbea9,pub_d0b02bd751,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.77815,1.77815,0,False,False,False,True,False,k_675baf9751fa,True,False,k_675baf9751fa,True,False,False,Pu(IV),TODGA,Thomas Summers,table3,10.1080/07366299.2012.700591,Pu(IV),TODGA,Thomas Summers,,10.1016/j.proche.2012.10.061,HNO3,3,0.2,22,exxsol d80:1
SAE:11462,SAE:9893,pub_2e9f2dbea9,pub_d0b02bd751,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.54407,1.54407,0,False,False,False,True,False,k_675baf9751fa,True,False,k_675baf9751fa,True,False,False,Pu(IV),TODGA,Thomas Summers,table3,10.1080/07366299.2012.700591,Pu(IV),TODGA,Thomas Summers,,10.1016/j.proche.2012.10.061,HNO3,3,0.2,22,exxsol d80:1
SAE:11463,SAE:9894,pub_2e9f2dbea9,pub_d0b02bd751,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,1.50515,1.50515,0,False,False,False,True,False,k_675baf9751fa,True,False,k_675baf9751fa,True,False,False,Pu(IV),TODGA,Thomas Summers,table3,10.1080/07366299.2012.700591,Pu(IV),TODGA,Thomas Summers,,10.1016/j.proche.2012.10.061,HNO3,3,0.2,22,exxsol d80:1
SAE:6872,SAE:7166,pub_45b8fb22e7,pub_efa0ee8c79,MODEL,MODEL,UNIQUE,E_VALUE_CONFLICT,0.619718,0.617331,0.00238773,False,False,False,True,False,k_510a0853dcf3,True,False,k_510a0853dcf3,True,False,False,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1080/01496390903183147,U(VI),DHOA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1515/ract-2018-3074,HNO3,2,1.1,25,dodecane:1
SAE:3994,SAE:5474,pub_4951086aba,pub_10aec04d23,MODEL,MODEL,UNIQUE,A_EXACT_DATABASE_DUPLICATE,0.348305,0.348305,0,False,False,False,True,False,k_f133addbf2e4,True,False,k_f133addbf2e4,True,False,False,U(VI),DBBA,Aurora Clark,,10.1081/sei-100103812,U(VI),DBBA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-100103812,HNO3,3.5,0.5,25,toluene:1
SAE:3994,SAE:5991,pub_4951086aba,pub_10aec04d23,MODEL,TARGET_ONLY,UNIQUE,A_EXACT_DATABASE_DUPLICATE,0.348305,0.348305,0,False,False,False,True,False,k_f133addbf2e4,True,False,k_f133addbf2e4,False,False,False,U(VI),DBBA,Aurora Clark,,10.1081/sei-100103812,U(VI),DBBA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-100103812,HNO3,3.5,0.5,25,toluene:1
SAE:11825,SAE:12787,pub_5a68dc5665,pub_af0c74798c,MODEL,MODEL,UNIQUE,UNIQUE,0.924977,0.924612,0.000365154,False,False,False,False,,,True,False,k_3149e49c8553,True,False,False,Th(IV),TODGA,Thomas Summers,fig4,10.1080/07366299.2015.1087209,Th(IV),TODGA,Thomas Summers,fig3,10.1081/sei-100001376,HNO3,1,0.0436655,25,dodecane:1
SAE:11781,SAE:4172,pub_5a68dc5665,pub_b155314682,MODEL,MODEL,UNIQUE,UNIQUE,-1.03538,-1.03433,0.00105372,False,False,False,False,,,True,False,k_c86642666fdb,True,False,False,Th(IV),T2EHDGA,Thomas Summers,fig4,10.1080/07366299.2015.1087209,Th(IV),TEHDGA,Aurora Clark,fig6,10.5182/jaie.18.354,HNO3,1,0.0991953,25,chloroform:1
SAE:4706,SAE:6131,pub_626a9bb8f4,pub_1b7737c507,MODEL,MODEL,A_EXACT_DATABASE_DUPLICATE,UNIQUE,1.20597,1.2014,0.00456843,False,False,False,True,False,k_7b349b35b9bd,True,False,k_7b349b35b9bd,True,False,False,U(VI),DEHAA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-100001377,U(VI),DEHAA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.2001.89.7.447,HNO3,3,1,25,dodecane:1
SAE:4714,SAE:6137,pub_626a9bb8f4,pub_1b7737c507,MODEL,MODEL,A_EXACT_DATABASE_DUPLICATE,UNIQUE,0.797169,0.799341,0.00217113,False,False,False,True,False,k_95529e4596c9,True,False,k_95529e4596c9,True,False,False,U(VI),DEHPA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-100001377,U(VI),DEHPA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.2001.89.7.447,HNO3,3,1,25,dodecane:1
SAE:5321,SAE:6131,pub_626a9bb8f4,pub_1b7737c507,TARGET_ONLY,MODEL,A_EXACT_DATABASE_DUPLICATE,UNIQUE,1.20597,1.2014,0.00456843,False,False,False,True,False,k_7b349b35b9bd,True,False,k_7b349b35b9bd,False,False,False,U(VI),DEHAA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-100001377,U(VI),DEHAA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.2001.89.7.447,HNO3,3,1,25,dodecane:1
SAE:5337,SAE:6137,pub_626a9bb8f4,pub_1b7737c507,TARGET_ONLY,MODEL,A_EXACT_DATABASE_DUPLICATE,UNIQUE,0.797169,0.799341,0.00217113,False,False,False,True,False,k_95529e4596c9,True,False,k_95529e4596c9,False,False,False,U(VI),DEHPA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1081/sei-100001377,U(VI),DEHPA,Logan Augustine,,10.1021/acssuschemeng.4c06166x | 10.1524/ract.2001.89.7.447,HNO3,3,1,25,dodecane:1
