check,population,grouping,match_type,n_rows,n_rows_matched,n_model_rows_matched,n_rows_matched_permuted,examples,role,n_groups,n_singleton_rows,eta2_in_sample,loo_r2,loo_mae,loo_mae_global_mean,loo_r2_minus_publication,excess_over_best_chemistry,lag1_pearson_r,mean_abs_delta_log_D,same_cell_fraction
target_in_text,all,ini_comp_raw,log_D_2dp,14622,3,3,1,"D=8.869 logD=0.9479 text=HNO3, TWE-40, Cm, tph 0.95, 1-octanol 0.05 || D=8.9 logD=0.9494 text=HNO3, TWE-26, Am, tph 0.95, 1-octanol 0.05 || D=8.88 logD=0.9484 text=HNO3, PyTri-Tetraol, Eu, kerosene 0.95, 1-octanol 0.05",,,,,,,,,,,,
target_in_text,all,ini_comp_raw,D_raw_substring,14622,0,0,0,,,,,,,,,,,,,
target_in_text,all,sub_source_file,D_value_exact,14622,0,0,0,,,,,,,,,,,,,
target_in_text,all,sub_source_file,D_value_3sf,14622,0,0,0,,,,,,,,,,,,,
target_in_text,all,sub_source_file,log_D_2dp,14622,0,0,0,,,,,,,,,,,,,
target_in_text,all,sub_source_file,D_raw_substring,14622,0,0,0,,,,,,,,,,,,,
provenance_group_predictability,all,source_file,,14622,,,,,provenance,32,0,0.0922548,0.089278,1.3077,1.37021,-0.372625,-0.49662,,,
provenance_group_predictability,all,entry_author,,14622,,,,,provenance,4,0,0.197799,0.197373,1.23987,1.37021,-0.264531,-0.388525,,,
provenance_group_predictability,all,addition_date_day,,14622,,,,,provenance,5,0,0.211236,0.21064,1.23572,1.37021,-0.251264,-0.375258,,,
provenance_group_predictability,all,addition_date_minute,,14622,,,,,provenance,28,2,0.311472,0.308715,1.15102,1.37021,-0.153188,-0.277183,,,
provenance_group_predictability,all,source_line_block20,,14622,,,,,provenance,1057,32,0.611447,0.548032,0.872984,1.37021,0.0861285,-0.0378659,,,
provenance_group_predictability,all,exp_id_block20,,14622,,,,,provenance,742,2,0.600402,0.556779,0.874167,1.37021,0.0948756,-0.0291189,,,
provenance_group_predictability,all,export_fanout_size,,14622,,,,,provenance,12,0,0.0180145,0.016848,1.36707,1.37021,-0.445056,-0.56905,,,
provenance_group_predictability,all,reference_year,,14622,,,,,provenance,29,0,0.328059,0.325337,1.12248,1.37021,-0.136566,-0.26056,,,
provenance_group_predictability,all,g19_publication_id,,14622,,,,,provenance,158,2,0.47126,0.461903,0.9879,1.37021,0,-0.123994,,,
provenance_group_predictability,all,g19_study_id,,14622,,,,,provenance,252,2,0.543305,0.529366,0.919579,1.37021,0.0674625,-0.056532,,,
provenance_group_predictability,all,publication_x_location,,14622,,,,,provenance,340,4,0.529528,0.509845,0.929764,1.37021,0.0479414,-0.076053,,,
provenance_group_predictability,all,publication_x_addition_minute,,14622,,,,,provenance,256,17,0.487205,0.471568,0.97514,1.37021,0.00966448,-0.11433,,,
provenance_group_predictability,all,publication_x_source_line_block20,,14622,,,,,provenance,1420,126,0.662834,0.585409,0.823142,1.37021,0.123505,-0.000489155,,,
provenance_group_predictability,all,series_id,,14622,,,,,chemistry_reference,568,28,0.607153,0.582613,0.84869,1.37021,0.12071,-0.0032848,,,
provenance_group_predictability,all,metal_state_x_extractant_system,,14622,,,,,chemistry_reference,1613,827,0.64955,0.572801,0.850533,1.37021,0.110898,-0.0130966,,,
provenance_group_predictability,all,near_duplicate_key_sig6,,14622,,,,,chemistry_reference,10309,9008,0.978738,0.429844,0.884063,1.37021,-0.0320598,-0.156054,,,
provenance_group_predictability,all,publication_x_metal_state_x_extractant_system,,14622,,,,,chemistry_reference,2214,1092,0.695439,0.585898,0.822809,1.37021,0.123994,0,,,
serial_target_correlation,all,all_consecutive,,14621,,,,,provenance,,,,,,,,,0.768254,0.713888,0.490322
serial_target_correlation,all,same_publication,,13846,,,,,provenance,,,,,,,,,0.786875,0.682282,0.516539
serial_target_correlation,all,different_publication,,775,,,,,provenance,,,,,,,,,0.102335,1.27856,0.0219355
provenance_group_predictability,model,source_file,,12411,,,,,provenance,32,0,0.0410348,0.0371621,1.23156,1.25948,-0.289436,-0.447287,,,
provenance_group_predictability,model,entry_author,,12411,,,,,provenance,4,0,0.0952455,0.0946635,1.22355,1.25948,-0.231935,-0.389786,,,
provenance_group_predictability,model,addition_date_day,,12411,,,,,provenance,5,0,0.0954592,0.0946519,1.22272,1.25948,-0.231947,-0.389797,,,
provenance_group_predictability,model,addition_date_minute,,12411,,,,,provenance,27,1,0.177977,0.174497,1.16178,1.25948,-0.152102,-0.309952,,,
provenance_group_predictability,model,source_line_block20,,12411,,,,,provenance,952,37,0.525348,0.442825,0.89373,1.25948,0.116226,-0.0416244,,,
provenance_group_predictability,model,exp_id_block20,,12411,,,,,provenance,667,9,0.511175,0.455265,0.892414,1.25948,0.128666,-0.0291844,,,
provenance_group_predictability,model,export_fanout_size,,12411,,,,,provenance,12,0,0.00642336,0.0049199,1.25892,1.25948,-0.321679,-0.479529,,,
provenance_group_predictability,model,reference_year,,12411,,,,,provenance,29,0,0.174324,0.170534,1.15532,1.25948,-0.156064,-0.313915,,,
provenance_group_predictability,model,g19_publication_id,,12411,,,,,provenance,157,4,0.340004,0.326599,1.0217,1.25948,0,-0.157851,,,
provenance_group_predictability,model,g19_study_id,,12411,,,,,provenance,251,4,0.438596,0.419115,0.941902,1.25948,0.0925167,-0.065334,,,
provenance_group_predictability,model,publication_x_location,,12411,,,,,provenance,338,6,0.420298,0.39276,0.953135,1.25948,0.0661611,-0.0916896,,,
provenance_group_predictability,model,publication_x_addition_minute,,12411,,,,,provenance,218,6,0.360957,0.34334,1.00341,1.25948,0.016741,-0.14111,,,
provenance_group_predictability,model,publication_x_source_line_block20,,12411,,,,,provenance,1263,117,0.583169,0.485245,0.846056,1.25948,0.158646,0.000795515,,,
provenance_group_predictability,model,series_id,,12411,,,,,chemistry_reference,563,38,0.520329,0.484449,0.867973,1.25948,0.157851,0,,,
provenance_group_predictability,model,metal_state_x_extractant_system,,12411,,,,,chemistry_reference,1610,842,0.565794,0.461236,0.886782,1.25948,0.134638,-0.0232129,,,
provenance_group_predictability,model,near_duplicate_key_sig6,,12411,,,,,chemistry_reference,10206,9508,0.973477,0.14088,1.09049,1.25948,-0.185718,-0.343569,,,
provenance_group_predictability,model,publication_x_metal_state_x_extractant_system,,12411,,,,,chemistry_reference,2208,1113,0.622421,0.474671,0.861623,1.25948,0.148073,-0.00977782,,,
serial_target_correlation,model,all_consecutive,,12410,,,,,provenance,,,,,,,,,0.711436,0.741442,0.515874
serial_target_correlation,model,same_publication,,11981,,,,,provenance,,,,,,,,,0.725919,0.720313,0.533011
serial_target_correlation,model,different_publication,,429,,,,,provenance,,,,,,,,,0.101329,1.3315,0.037296
