extractant_system_key,system_id,system_label,primary_name_modal,n_distinct_name_strings,n_components,system_component_classes,total_rows,total_publications,n_metal_state_columns,n_metal_states_known_ox,n_elements,La(III),La(?),Ce(III),Ce(?),Pr(III),Pr(?),Nd(III),Nd(?),Pm(III),Sm(III),Sm(?),Eu(III),Eu(?),Gd(III),Gd(?),Tb(III),Tb(?),Dy(III),Dy(?),Ho(III),Ho(?),Er(III),Er(?),Tm(III),Tm(?),Yb(III),Yb(?),Lu(III),Lu(?),Sc(?),Y(III),Y(?),Th(IV),Th(?),Pa(V),U(IV),U(VI),U(?),Np(IV),Np(V),Np(VI),Pu(III),Pu(IV),Pu(VI),Pu(?),Am(III),Am(VI),Am(?),Cm(III),Cm(?),Cf(III),Cr(?),Fe(?),Zr(IV),Zr(?),Mo(?),Tc(VII),Ru(?),Pd(II),Pd(IV),Hf(IV),Cd(II),In(III),Pb(II),Pb(?),Bi(III),Bi(?),Ca(II),Ca(?),Sr(II),Sr(III),Sr(?),Ba(II),Ba(?)
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_a9ed8f70c7,TODGA,TODGA,21,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|EXTRACTANT_PLUS_MODIFIER|SINGLE_EXTRACTANT,3066,53,63,37,34,14,6,11,3,10,3,14,12,0,11,2,23,9,11,2,9,1,10,2,9,1,10,1,9,1,9,0,11,3,2,1,3,5,2,0,1,6,4,0,2,0,0,6,1,3,21,0,11,6,1,1,0,0,2,2,0,1,0,1,1,1,1,1,2,1,2,1,2,2,5,2,5,2,1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sys_1bf1228273,TEHDGA,TEHDGA,2,1,EXTRACTANT_PLUS_MODIFIER|SINGLE_EXTRACTANT,520,22,39,21,25,4,3,2,1,2,0,5,6,0,3,2,6,5,3,1,2,0,3,2,2,0,3,1,2,0,2,0,3,1,0,0,0,3,2,0,0,4,2,0,1,0,0,2,0,0,6,0,4,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,sys_a13e6546cf,DMDODGA,DMDODGA,2,1,EXTRACTANT_PLUS_MODIFIER|SINGLE_EXTRACTANT,462,7,24,15,15,4,2,3,0,3,0,4,3,0,4,1,4,2,4,2,3,0,4,1,3,2,4,1,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,sys_b741ed13e6,DEHiBA,DEHiBA,1,1,SINGLE_EXTRACTANT,451,16,11,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,11,0,2,2,3,2,9,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,sys_73efd64abf,DEHBA,DEHBA,1,1,EXTRACTANT_PLUS_MODIFIER|SINGLE_EXTRACTANT,447,8,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,2,1,3,1,6,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC(=O)N(CCCCCC)CCCCCC,sys_f2281f47eb,DHOA,DHOA,1,1,SINGLE_EXTRACTANT,446,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,1,2,3,7,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,sys_b9bfc6f023,TBDGA,TBDGA,1,1,SINGLE_EXTRACTANT,381,9,26,18,18,3,1,1,0,0,0,3,1,0,2,1,5,1,2,1,1,0,2,2,0,0,2,1,0,0,0,1,1,0,0,0,0,4,0,0,0,2,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sys_1d7ecf493c,TDdDGA,TDdDGA,1,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,368,6,21,20,20,2,0,1,0,1,0,2,1,0,2,0,3,0,2,0,1,0,2,0,1,0,2,0,1,0,1,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,sys_5a76327cbd,C5BTBP,C5BTBP,2,1,SINGLE_EXTRACTANT,348,3,13,13,13,2,0,2,0,2,0,2,0,0,2,0,3,0,2,0,2,0,2,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sys_ac54455ea4,DHD2DGA,DHD2DGA,1,1,SINGLE_EXTRACTANT,216,1,15,15,15,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sys_f419fc8708,DOODA (C12),DOODA (C12),1,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,208,1,16,16,16,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,sys_d1bb6c7ee1,TDDGA,TDDGA,1,1,SINGLE_EXTRACTANT,184,6,17,6,13,0,1,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCCCCCN(CCCCCC)C(=O)CCCCC,sys_d34f8d60c0,DHHA,DHHA,1,1,SINGLE_EXTRACTANT,143,4,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,sys_1e7789d807,TPDGA,TPDGA,1,1,SINGLE_EXTRACTANT,142,4,7,7,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,sys_78a9063324,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide,2,1,SINGLE_EXTRACTANT,140,1,14,14,14,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_a87852c407,DMDOHEMA + TODGA,TODGA,1,2,SYNERGISTIC_TWO_EXTRACTANT,137,3,11,11,11,2,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,sys_d39b6adb9f,DBD1MHDGA,DBD1MHDGA,1,1,SINGLE_EXTRACTANT,134,1,6,6,6,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sys_2a09cfc82c,THDGA,THDGA,1,1,EXTRACTANT_PLUS_MODIFIER|SINGLE_EXTRACTANT,134,6,26,15,15,2,2,0,0,0,0,2,2,0,1,1,4,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,2,1,0,0,3,1,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,sys_24e3308d46,DMDPDGA,DMDPDGA,1,1,SINGLE_EXTRACTANT,127,3,18,18,18,3,0,2,0,2,0,3,0,0,3,0,3,0,3,0,2,0,3,0,2,0,3,0,2,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,sys_f6fc88d7f7,DMDO-HPyranDGA,DMDO-HPyranDGA,1,1,SINGLE_EXTRACTANT,105,1,8,8,8,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,sys_60d114cb68,DMDOHEMA,DMDOHEMA,2,1,SINGLE_EXTRACTANT,96,2,18,14,16,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|CCCCOP(=O)(OCCCC)OCCCC,sys_06a8dc1c28,TBP + TODGA,TODGA,1,2,SYNERGISTIC_TWO_EXTRACTANT,94,2,7,7,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,sys_a7d465c461,DEHPVA,DEHPVA,1,1,SINGLE_EXTRACTANT,90,4,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN(CC)C(=O)COCC(=O)N(CC)CC,sys_c24272fe7f,TEDGA,TEDGA,1,1,SINGLE_EXTRACTANT,84,1,14,14,14,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,sys_68964c807a,TBEE-BisDGA,TBEE-BisDGA,1,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,83,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sys_d503e34a31,mTDDGA,mTDDGA,1,1,SINGLE_EXTRACTANT,82,1,12,12,12,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,sys_b3e0eb9c63,C2-PTA,C2-PTA,1,1,SINGLE_EXTRACTANT,78,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,sys_ff4802a276,DHOA + TODGA,TODGA,1,2,SYNERGISTIC_TWO_EXTRACTANT,77,2,5,5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,sys_8ba66f2acf,TPrDGA,TPrDGA,1,1,SINGLE_EXTRACTANT,77,2,16,16,16,1,0,1,0,1,0,1,0,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,sys_c3d1780b46,L1e,L1e,1,1,SINGLE_EXTRACTANT,75,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,sys_2f6e71f419,HOOxyBenDGA,HOOxyBenDGA,1,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,71,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,sys_c74ce105ab,HOEtBenDGA,HOEtBenDGA,1,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,71,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,sys_2ea59049ec,HOAmBenDGA,HOAmBenDGA,1,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,70,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,sys_99c16cf2fe,DOODA (C8),DOODA (C8),1,1,EXTRACTANT_PLUS_AQUEOUS_AGENT|SINGLE_EXTRACTANT,70,1,14,14,14,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
