extractant,extractant_name,family,cohort_n_cells,source_n_cells,chem__ecfp_cluster,chem__supercluster,max_tanimoto_to_base,nearest_base_partner,n_base_above_0_7
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,podand_ether,5,5,ec000,sc000,0.10204081632653061,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2-(3-4-dihydroxyphenyl)-3-5-7-trihydroxychromen-4-one,hydroxyl_acid,3,3,ec158,sc092,0.12,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0
C1COCCOCCOCCOCCOCCO1,1-4-7-10-13-16-hexaoxacyclooctadecane,podand_ether,5,5,ec001,sc001,0.1282051282051282,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,0
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,podand_ether,5,5,ec163,sc097,0.14705882352941177,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,3-5-diMe-N-DPPz,n_heterocyclic_polydentate,6,6,ec146,sc080,0.17391304347826086,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,DPhen-PyranDGA,diglycolamide,3,3,ec004,sc004,0.17391304347826086,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,hydroxyl_acid,8,8,ec150,sc084,0.17647058823529413,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,podand_ether,5,5,ec162,sc096,0.18181818181818182,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0
Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,3-Me-N-DPP,n_heterocyclic_polydentate,7,7,ec147,sc081,0.2,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,TWE-28,sulfur_donor,6,6,ec138,sc074,0.20689655172413793,CCN(CC)C(=O)COCC(=O)N(CC)CC,0
Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,3-5-diMe-N-DPP,n_heterocyclic_polydentate,6,6,ec145,sc079,0.2127659574468085,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,TWE-23,sulfur_donor,6,6,ec123,sc067,0.23333333333333334,CCCCCCOP(=O)(O)OCCCCCC,0
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,hydroxyl_acid,8,8,ec151,sc085,0.23529411764705882,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,TWE-27,sulfur_donor,6,6,ec122,sc066,0.25,CCCCCCOP(=O)(O)OCCCCCC,0
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,TWE-30,sulfur_donor,6,6,ec159,sc093,0.25,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,N-DP(DOM)P,n_heterocyclic_polydentate,6,6,ec040,sc026,0.25396825396825395,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0
