arm,outer_fold,inner_fold,scope,shuffle_seed,validation_rows_touched,validation_labels_used,training_rows,shuffle_unit_columns,training_complex_pair_groups,repeated_complex_pair_groups,moved_groups,fixed_groups,moved_rows,fixed_rows,donors_from_training_only,complete_block_moved_together,test_rows_touched,test_labels_used,hyperparameters_selected_on,shuffled_labels_used_for_hyperparameter_selection,moved_label_rows,fixed_label_rows,stratification,training_only,outer_test_labels_touched,outer_test_labels_used_for_selection
H2_E3_STABLE_SHUFFLED,0,2.0,correction_inner_training_only,60169,0.0,0.0,4368,"geometry_key_A,geometry_key_B",949.0,429.0,949.0,0.0,4368.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,0,,outer_training_only,1040134,,,5743,"geometry_key_A,geometry_key_B",1789.0,551.0,1789.0,0.0,5743.0,0.0,True,True,0.0,0.0,,,,,,,,
H3_A2_LABEL_SHUFFLED,0,,outer_training_labels_only,73277,,,5743,,,,,,,,,,,,H3_A2,False,5647.0,96.0,pair_label,True,0.0,0.0
H3_A2_ELEC_LABEL_SHUFFLED,0,,outer_training_labels_only,73277,,,5743,,,,,,,,,,,,H3_A2_ELEC,False,5647.0,96.0,pair_label,True,0.0,0.0
H2_E3_RAW_SHUFFLED,1,0.0,correction_inner_training_only,1040154,0.0,0.0,2862,"geometry_key_A,geometry_key_B",1565.0,384.0,1565.0,0.0,2862.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,1,1.0,correction_inner_training_only,1050163,0.0,0.0,4356,"geometry_key_A,geometry_key_B",1014.0,338.0,1014.0,0.0,4356.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,1,2.0,correction_inner_training_only,1060172,0.0,0.0,4348,"geometry_key_A,geometry_key_B",915.0,410.0,915.0,0.0,4348.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,1,,outer_training_only,2040137,,,5783,"geometry_key_A,geometry_key_B",1747.0,566.0,1747.0,0.0,5783.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_COMPACT_SHUFFLED,1,0.0,correction_inner_training_only,1040154,0.0,0.0,2862,"geometry_key_A,geometry_key_B",1565.0,384.0,1565.0,0.0,2862.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,1,1.0,correction_inner_training_only,1050163,0.0,0.0,4356,"geometry_key_A,geometry_key_B",1014.0,338.0,1014.0,0.0,4356.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,1,2.0,correction_inner_training_only,1060172,0.0,0.0,4348,"geometry_key_A,geometry_key_B",915.0,410.0,915.0,0.0,4348.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,1,,outer_training_only,2040137,,,5783,"geometry_key_A,geometry_key_B",1747.0,566.0,1747.0,0.0,5783.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_STABLE_SHUFFLED,1,0.0,correction_inner_training_only,1040154,0.0,0.0,2862,"geometry_key_A,geometry_key_B",1565.0,384.0,1565.0,0.0,2862.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,1,1.0,correction_inner_training_only,1050163,0.0,0.0,4356,"geometry_key_A,geometry_key_B",1014.0,338.0,1014.0,0.0,4356.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,1,2.0,correction_inner_training_only,1060172,0.0,0.0,4348,"geometry_key_A,geometry_key_B",915.0,410.0,915.0,0.0,4348.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,1,,outer_training_only,2040137,,,5783,"geometry_key_A,geometry_key_B",1747.0,566.0,1747.0,0.0,5783.0,0.0,True,True,0.0,0.0,,,,,,,,
H3_A2_LABEL_SHUFFLED,1,,outer_training_labels_only,1073280,,,5783,,,,,,,,,,,,H3_A2,False,5690.0,93.0,pair_label,True,0.0,0.0
H3_A2_ELEC_LABEL_SHUFFLED,1,,outer_training_labels_only,1073280,,,5783,,,,,,,,,,,,H3_A2_ELEC,False,5690.0,93.0,pair_label,True,0.0,0.0
H2_E3_RAW_SHUFFLED,2,0.0,correction_inner_training_only,2040157,0.0,0.0,2863,"geometry_key_A,geometry_key_B",1560.0,354.0,1560.0,0.0,2863.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,2,1.0,correction_inner_training_only,2050166,0.0,0.0,4384,"geometry_key_A,geometry_key_B",992.0,399.0,992.0,0.0,4384.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,2,2.0,correction_inner_training_only,2060175,0.0,0.0,4321,"geometry_key_A,geometry_key_B",932.0,319.0,932.0,0.0,4321.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,2,,outer_training_only,3040140,,,5784,"geometry_key_A,geometry_key_B",1742.0,536.0,1742.0,0.0,5784.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_COMPACT_SHUFFLED,2,0.0,correction_inner_training_only,2040157,0.0,0.0,2863,"geometry_key_A,geometry_key_B",1560.0,354.0,1560.0,0.0,2863.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,2,1.0,correction_inner_training_only,2050166,0.0,0.0,4384,"geometry_key_A,geometry_key_B",992.0,399.0,992.0,0.0,4384.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,2,2.0,correction_inner_training_only,2060175,0.0,0.0,4321,"geometry_key_A,geometry_key_B",932.0,319.0,932.0,0.0,4321.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,2,,outer_training_only,3040140,,,5784,"geometry_key_A,geometry_key_B",1742.0,536.0,1742.0,0.0,5784.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_STABLE_SHUFFLED,2,0.0,correction_inner_training_only,2040157,0.0,0.0,2863,"geometry_key_A,geometry_key_B",1560.0,354.0,1560.0,0.0,2863.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,2,1.0,correction_inner_training_only,2050166,0.0,0.0,4384,"geometry_key_A,geometry_key_B",992.0,399.0,992.0,0.0,4384.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,2,2.0,correction_inner_training_only,2060175,0.0,0.0,4321,"geometry_key_A,geometry_key_B",932.0,319.0,932.0,0.0,4321.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,2,,outer_training_only,3040140,,,5784,"geometry_key_A,geometry_key_B",1742.0,536.0,1742.0,0.0,5784.0,0.0,True,True,0.0,0.0,,,,,,,,
H3_A2_LABEL_SHUFFLED,2,,outer_training_labels_only,2073283,,,5784,,,,,,,,,,,,H3_A2,False,5706.0,78.0,pair_label,True,0.0,0.0
H3_A2_ELEC_LABEL_SHUFFLED,2,,outer_training_labels_only,2073283,,,5784,,,,,,,,,,,,H3_A2_ELEC,False,5706.0,78.0,pair_label,True,0.0,0.0
H2_E3_RAW_SHUFFLED,3,0.0,correction_inner_training_only,3040160,0.0,0.0,2449,"geometry_key_A,geometry_key_B",1331.0,332.0,1331.0,0.0,2449.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,3,1.0,correction_inner_training_only,3050169,0.0,0.0,2505,"geometry_key_A,geometry_key_B",1468.0,252.0,1468.0,0.0,2505.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,3,2.0,correction_inner_training_only,3060178,0.0,0.0,2602,"geometry_key_A,geometry_key_B",1377.0,354.0,1377.0,0.0,2602.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,3,,outer_training_only,4040143,,,3778,"geometry_key_A,geometry_key_B",2088.0,469.0,2088.0,0.0,3778.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_COMPACT_SHUFFLED,3,0.0,correction_inner_training_only,3040160,0.0,0.0,2449,"geometry_key_A,geometry_key_B",1331.0,332.0,1331.0,0.0,2449.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,3,1.0,correction_inner_training_only,3050169,0.0,0.0,2505,"geometry_key_A,geometry_key_B",1468.0,252.0,1468.0,0.0,2505.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,3,2.0,correction_inner_training_only,3060178,0.0,0.0,2602,"geometry_key_A,geometry_key_B",1377.0,354.0,1377.0,0.0,2602.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,3,,outer_training_only,4040143,,,3778,"geometry_key_A,geometry_key_B",2088.0,469.0,2088.0,0.0,3778.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_STABLE_SHUFFLED,3,0.0,correction_inner_training_only,3040160,0.0,0.0,2449,"geometry_key_A,geometry_key_B",1331.0,332.0,1331.0,0.0,2449.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,3,1.0,correction_inner_training_only,3050169,0.0,0.0,2505,"geometry_key_A,geometry_key_B",1468.0,252.0,1468.0,0.0,2505.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,3,2.0,correction_inner_training_only,3060178,0.0,0.0,2602,"geometry_key_A,geometry_key_B",1377.0,354.0,1377.0,0.0,2602.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,3,,outer_training_only,4040143,,,3778,"geometry_key_A,geometry_key_B",2088.0,469.0,2088.0,0.0,3778.0,0.0,True,True,0.0,0.0,,,,,,,,
H3_A2_LABEL_SHUFFLED,3,,outer_training_labels_only,3073286,,,3778,,,,,,,,,,,,H3_A2,False,3686.0,92.0,pair_label,True,0.0,0.0
H3_A2_ELEC_LABEL_SHUFFLED,3,,outer_training_labels_only,3073286,,,3778,,,,,,,,,,,,H3_A2_ELEC,False,3686.0,92.0,pair_label,True,0.0,0.0
H2_E3_RAW_SHUFFLED,4,0.0,correction_inner_training_only,4040163,0.0,0.0,2787,"geometry_key_A,geometry_key_B",1532.0,300.0,1532.0,0.0,2787.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,4,1.0,correction_inner_training_only,4050172,0.0,0.0,4313,"geometry_key_A,geometry_key_B",900.0,339.0,900.0,0.0,4313.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,4,2.0,correction_inner_training_only,4060181,0.0,0.0,4316,"geometry_key_A,geometry_key_B",996.0,325.0,996.0,0.0,4316.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,4,,outer_training_only,5040146,,,5708,"geometry_key_A,geometry_key_B",1714.0,482.0,1714.0,0.0,5708.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_COMPACT_SHUFFLED,4,0.0,correction_inner_training_only,4040163,0.0,0.0,2787,"geometry_key_A,geometry_key_B",1532.0,300.0,1532.0,0.0,2787.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,4,1.0,correction_inner_training_only,4050172,0.0,0.0,4313,"geometry_key_A,geometry_key_B",900.0,339.0,900.0,0.0,4313.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,4,2.0,correction_inner_training_only,4060181,0.0,0.0,4316,"geometry_key_A,geometry_key_B",996.0,325.0,996.0,0.0,4316.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,4,,outer_training_only,5040146,,,5708,"geometry_key_A,geometry_key_B",1714.0,482.0,1714.0,0.0,5708.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_STABLE_SHUFFLED,4,0.0,correction_inner_training_only,4040163,0.0,0.0,2787,"geometry_key_A,geometry_key_B",1532.0,300.0,1532.0,0.0,2787.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,4,1.0,correction_inner_training_only,4050172,0.0,0.0,4313,"geometry_key_A,geometry_key_B",900.0,339.0,900.0,0.0,4313.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,4,2.0,correction_inner_training_only,4060181,0.0,0.0,4316,"geometry_key_A,geometry_key_B",996.0,325.0,996.0,0.0,4316.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,4,,outer_training_only,5040146,,,5708,"geometry_key_A,geometry_key_B",1714.0,482.0,1714.0,0.0,5708.0,0.0,True,True,0.0,0.0,,,,,,,,
H3_A2_LABEL_SHUFFLED,4,,outer_training_labels_only,4073289,,,5708,,,,,,,,,,,,H3_A2,False,5620.0,88.0,pair_label,True,0.0,0.0
H3_A2_ELEC_LABEL_SHUFFLED,4,,outer_training_labels_only,4073289,,,5708,,,,,,,,,,,,H3_A2_ELEC,False,5620.0,88.0,pair_label,True,0.0,0.0
