arm,equal_extractant_macro_mae,equal_extractant_macro_mae_split_sd,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,pooled_r2,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,split_seed_count
A2_current_champion,0.31922069395861274,0.007793789072016498,0.4189101707708727,0.2780024638970743,0.5676522092109534,0.0,0.32326106027273716,0.11755850331747512,0.47689542397790763,0.8470517987759367,5
H2_E3_STABLE_SHUFFLED,0.32432596814716963,0.008413783976142526,0.4184239563158667,0.288258725810469,0.5683489231965432,0.4588235294117647,0.3373608977689472,0.12168863761566687,0.47552094448156906,0.8346917450365726,5
H2_E3_COMPACT_REAL,0.324578490321244,0.008389023309207556,0.4181087998835973,0.28777014910257864,0.5691019505046193,0.46470588235294114,0.3381458301764438,0.12091596948082509,0.47529382118395275,0.8339155097775788,5
H2_E3_RAW_REAL,0.32459828543111796,0.008381583275883819,0.4182446151422279,0.28777014910257864,0.5691751481384203,0.46470588235294114,0.3379982598426816,0.12174062214078965,0.47529709225767025,0.8349902970592625,5
H2_E3_STABLE_REAL,0.3249432679463411,0.008042905866593746,0.4186452332287076,0.287496118099481,0.5693504576401762,0.4588235294117647,0.33664886181507403,0.12128859833655445,0.47586177333522545,0.8340050753843858,5
H2_E3_RAW_SHUFFLED,0.32532094062954603,0.00842427567163836,0.4188067266210681,0.28792115441510185,0.5701235652735555,0.47058823529411764,0.33654439516716156,0.12190345058247154,0.4759360326726386,0.8336766681594268,5
H2_E3_COMPACT_SHUFFLED,0.3253643357470634,0.008398544577950006,0.41875453296701737,0.28770954992840914,0.5700889483690903,0.46470588235294114,0.3366408099827981,0.12191819321826966,0.4758709593230865,0.8345126138229586,5
H1_CATBOOST_NONE_RMSE,0.32875760447543473,0.010142085366698826,0.42722545231592823,0.29282689124239536,0.5808241727729553,0.4352941176470588,0.3017462525601212,0.1178383904737883,0.486756853855863,0.8270786684579787,5
H1_CATBOOST_NONE_MAE,0.3297944621210275,0.012779921099814611,0.41696127098242697,0.30429523199662156,0.5708977681899974,0.4,0.3410054615621105,0.11693886246993901,0.47469075186565934,0.8550529929840275,5
H1_CATBOOST_GROUP_SQRT_HUBER,0.33103766727942074,0.020567926373236543,0.41843960260093854,0.2990635986663689,0.5689017246842826,0.41764705882352937,0.3331977651748296,0.1223191063793038,0.4754182883281701,0.8358859531273325,5
H1_CATBOOST_NONE_HUBER,0.3313855423449009,0.01185448597589129,0.4241618977800333,0.28376219325963675,0.5866876935296083,0.38235294117647056,0.30576255852977174,0.12007531256227937,0.482673396288469,0.8265412748171368,5
H1_CATBOOST_GROUP_SQRT_RMSE,0.3360609731908434,0.008258773689792092,0.4248507253825614,0.3155624877519454,0.5679959160364262,0.3764705882352941,0.31114546999951503,0.11773119753633358,0.48394581431132105,0.8414390207493655,5
H1_CATBOOST_GROUP_EQUAL_MAE,0.3368665444832749,0.015382349172878894,0.4201051957594427,0.301854985180641,0.5747219164420762,0.3941176470588235,0.34447165310549177,0.12285787503151029,0.4773007019372454,0.8406627854903718,5
H1_CATBOOST_GROUP_EQUAL_RMSE,0.33745522199834865,0.01678707571772442,0.41575582713620013,0.3224048369902427,0.5611195140405927,0.4,0.35327512711527553,0.12358694403777074,0.47197415441092466,0.8274369308852068,5
H1_CATBOOST_GROUP_EQUAL_HUBER,0.34124906460633075,0.010573691375232539,0.41887060593116143,0.30798448250956384,0.5767637409362472,0.38823529411764707,0.3377682585104486,0.12490304031032136,0.4754350307150931,0.8292879534258845,5
H1_CATBOOST_GROUP_SQRT_MAE,0.34158528508898317,0.01335216664888971,0.4291743011984851,0.32567864803925806,0.5853561199545648,0.40588235294117647,0.3086261039918236,0.12394017125530354,0.4879066070846686,0.8467233915509776,5
H3_A2_ELEC,0.39668505312781843,0.027028326824478508,0.46187740550681433,0.35264282722658163,0.6841995417929772,0.2941176470588235,0.20189542012958447,0.13777081027250265,0.5242410988938365,0.7910732945215704,5
H3_A2,0.42401155720389766,0.054602220049302305,0.4584052100274366,0.352608170868717,0.7548141917764404,0.3117647058823529,0.18458509176709448,0.1307528771425326,0.5214511644326665,0.8219435736677116,5
H3_A2_ELEC_LABEL_SHUFFLED,0.4296306401200386,0.007667869630317282,0.3960559841385539,0.37065681358934066,0.7339948557754941,0.3411764705882353,0.4332074676291592,0.12589637307415497,0.44803934824688696,0.8517390655321689,5
H3_A2_LABEL_SHUFFLED,0.4430647062852187,0.027327636004619175,0.3990246182516092,0.4031314621920267,0.7573659528937122,0.3176470588235294,0.42056087238212614,0.12552944964607976,0.4516498011036164,0.8538886400955367,5
