arm,mean_equal_extractant_macro_mae,mean_delta_mae_baseline_minus_candidate,positive_split_seeds,split_seed_count,win_rule_passed,h2_nonzero_lambda_gate,real_beats_shuffled_gate,h3_label_shuffle_gate,eligible_for_champion
H1_CATBOOST_NONE_RMSE,0.32875760447543473,-0.009536910516822017,0,5,False,True,True,True,False
H1_CATBOOST_NONE_MAE,0.3297944621210275,-0.010573768162414721,1,5,False,True,True,True,False
H1_CATBOOST_NONE_HUBER,0.3313855423449009,-0.012164848386288164,1,5,False,True,True,True,False
H1_CATBOOST_GROUP_SQRT_RMSE,0.3360609731908434,-0.016840279232230637,0,5,False,True,True,True,False
H1_CATBOOST_GROUP_SQRT_MAE,0.3415852850889832,-0.022364591130370426,0,5,False,True,True,True,False
H1_CATBOOST_GROUP_SQRT_HUBER,0.33103766727942074,-0.01181697332080801,1,5,False,True,True,True,False
H1_CATBOOST_GROUP_EQUAL_RMSE,0.3374552219983487,-0.01823452803973592,0,5,False,True,True,True,False
H1_CATBOOST_GROUP_EQUAL_MAE,0.33686654448327485,-0.017645850524662145,0,5,False,True,True,True,False
H1_CATBOOST_GROUP_EQUAL_HUBER,0.34124906460633075,-0.022028370647718,0,5,False,True,True,True,False
H2_E3_RAW_REAL,0.32459828543111796,-0.005377591472505239,0,5,False,False,True,True,False
H2_E3_RAW_SHUFFLED,0.32532094062954603,-0.006100246670933318,0,5,False,False,True,True,False
H2_E3_COMPACT_REAL,0.324578490321244,-0.005357796362631217,0,5,False,False,True,True,False
H2_E3_COMPACT_SHUFFLED,0.32536433574706336,-0.006143641788450671,0,5,False,False,True,True,False
H2_E3_STABLE_REAL,0.32494326794634115,-0.005722573987728363,0,5,False,False,False,True,False
H2_E3_STABLE_SHUFFLED,0.32432596814716963,-0.005105274188556852,0,5,False,False,True,True,False
H3_A2,0.42401155720389766,-0.10479086324528489,0,5,False,True,False,True,False
H3_A2_ELEC,0.39668505312781843,-0.07746435916920567,0,5,False,True,True,True,False
H3_A2_LABEL_SHUFFLED,0.44306470628521877,-0.12384401232660598,0,5,False,True,True,True,False
H3_A2_ELEC_LABEL_SHUFFLED,0.4296306401200386,-0.11040994616142585,0,5,False,True,True,True,False
