arm,extractant_family,macro_mae,macro_mae_split_sd,n_extractants,fraction_extractants_improved_vs_A2,split_seed_count
A2_current_champion,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.19278137084507313,0.04637162150909678,1,0.0,5
A2_current_champion,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.18227633964594578,0.06884382584537806,1,0.0,5
A2_current_champion,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.2690419026113238,0.070998089078286,1,0.0,5
A2_current_champion,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.412674190414808,0.023100262675413437,1,0.0,5
A2_current_champion,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.3250582199097217,0.013700427564330401,1,0.0,5
A2_current_champion,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.25794287393285537,0.027600760881738264,1,0.0,5
A2_current_champion,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.19262204125263546,0.05654284030494048,1,0.0,5
A2_current_champion,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.5556506762700905,0.029334667735347698,1,0.0,5
A2_current_champion,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.2164725945373848,0.00259335464307659,1,0.0,5
A2_current_champion,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.7973282596351969,0.011456140554554647,1,0.0,5
A2_current_champion,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.17349438244583762,0.040986883595251246,1,0.0,5
A2_current_champion,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.6327238059929149,0.005150229207985695,1,0.0,5
A2_current_champion,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.504513246740599,0.0066022165611901145,1,0.0,5
A2_current_champion,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.1190501976821352,0.03359580863428141,1,0.0,5
A2_current_champion,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.10216182255109733,0.01406644818447197,1,0.0,5
A2_current_champion,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0.0751727491890655,0.021022548462273565,1,0.0,5
A2_current_champion,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0.16133822141307785,0.08326235583574021,1,0.0,5
A2_current_champion,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.23115379856899326,0.012573291200771651,1,0.0,5
A2_current_champion,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.13128455224093238,0.04506644307075015,1,0.0,5
A2_current_champion,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.2856244848534721,0.023723585568441827,1,0.0,5
