feature,selection_frequency,mean_signed_importance_or_coefficient,fold_consistency,split_seed_consistency,selected_outer_fold_fraction
elec__odd__delta_q_metal,0.8933333333333333,-0.06541637888173735,0.8666666666666666,1.0,0.96
elec__odd__delta_q_donor_min,0.8666666666666666,0.08605488142804002,0.5733333333333334,1.0,0.84
elec__odd__delta_dipole_magnitude,0.8266666666666667,0.041997008006115895,0.64,1.0,0.8
elec__odd__delta_q_donor_std,0.8133333333333335,0.2776075672256424,0.6799999999999998,1.0,0.8
elec__odd__delta_q_donor_mean,0.76,-0.12269135882613043,0.5733333333333333,0.8,0.84
elec__odd__delta_metal_minus_donor_charge,0.72,0.045305302853213894,0.5066666666666666,0.8,0.72
elec__odd__delta_q_donor_max,0.68,-0.12577793216254018,0.36,0.6,0.72
elec__even__absdelta_q_metal,0.0,0.0,0.0,0.0,0.0
elec__even__compliance_q_metal,0.0,0.0,0.0,0.0,0.0
elec__even__absdelta_q_donor_mean,0.0,0.0,0.0,0.0,0.0
elec__even__compliance_q_donor_mean,0.0,0.0,0.0,0.0,0.0
elec__even__absdelta_q_donor_std,0.0,0.0,0.0,0.0,0.0
elec__even__compliance_q_donor_std,0.0,0.0,0.0,0.0,0.0
elec__even__absdelta_q_donor_min,0.0,0.0,0.0,0.0,0.0
elec__even__compliance_q_donor_min,0.0,0.0,0.0,0.0,0.0
elec__even__absdelta_q_donor_max,0.0,0.0,0.0,0.0,0.0
elec__even__compliance_q_donor_max,0.0,0.0,0.0,0.0,0.0
elec__even__absdelta_dipole_magnitude,0.0,0.0,0.0,0.0,0.0
elec__even__compliance_dipole_magnitude,0.0,0.0,0.0,0.0,0.0
elec__even__absdelta_metal_minus_donor_charge,0.0,0.0,0.0,0.0,0.0
elec__even__compliance_metal_minus_donor_charge,0.0,0.0,0.0,0.0,0.0
