Ln,n_samples,MAE_2D,MAE_2D3D,delta_MAE,RMSE_2D,RMSE_2D3D,delta_RMSE,Spearman_2D,Spearman_2D3D,delta_Spearman
Ce,913,0.5932544655284807,0.5773003909346957,0.01595407459378506,0.8081887822160339,0.7769254895716657,0.03126329264436811,0.6373223403606824,0.6723602534871299,0.03503791312644755
Dy,1123,0.3511533731692299,0.3503494297906207,0.0008039433786091732,0.5404374172404538,0.5315605556707124,0.008876861569741434,0.7320196729952366,0.7343515237198799,0.0023318507246432585
Er,1045,0.3693550828211568,0.3768476565426678,-0.0074925737215109645,0.5923754524494984,0.5879282771196388,0.0044471753298596095,0.6949046243622331,0.6580648542233207,-0.036839770138912376
Eu,949,0.3642279744044422,0.36479597682906467,-0.0005680024246224602,0.5018460153137494,0.49404067218702974,0.007805343126719655,0.8035171140868698,0.7846427217101131,-0.0188743923767567
Gd,1144,0.36374042013365154,0.35487012778361315,0.008870292350038389,0.49566258688362297,0.47692416193024495,0.01873842495337802,0.6915245254736746,0.6878975692816758,-0.0036269561919988202
Ho,929,0.39494441037383626,0.3996974013960699,-0.0047529910222336436,0.6121022243039171,0.609495221404375,0.002607002899542188,0.7169813058212249,0.6982370675971352,-0.01874423822408966
La,923,0.6766054829782382,0.6474726570315775,0.029132825946660668,0.9227965018059149,0.8881977271691013,0.0345987746368136,0.5288329742973493,0.5891719455568912,0.06033897125954191
Lu,849,0.3741733343158089,0.3647850493498118,0.009388284965997085,0.5828545666476209,0.5705857827657052,0.012268783881915768,0.7139031821422664,0.6835387308079686,-0.03036445133429788
Nd,1095,0.5158250989324005,0.5108278231691477,0.0049972757632528175,0.6943233771070737,0.684711264926586,0.009612112180487742,0.6104647881328842,0.6031909463018591,-0.007273841831025085
Pr,704,0.43856604018316914,0.44076163844257293,-0.002195598259403797,0.6010816605936466,0.5952566478782418,0.005825012715404809,0.7722635850330362,0.7798264885855113,0.007562903552475131
Sm,1120,0.41837631219326704,0.41307441607006345,0.005301896123203587,0.5427661038247773,0.5377579066096144,0.0050081972151628795,0.6810854508375732,0.6868785970905317,0.005793146252958459
Tb,897,0.3575521834739359,0.362885508659296,-0.0053333251853600605,0.531065588760292,0.5210767759473907,0.009988812812901315,0.7858961062871321,0.7684276115638731,-0.017468494723259065
Tm,827,0.351342794650739,0.3590246308888259,-0.0076818362380869365,0.5875051825067692,0.5895791471984765,-0.0020739646917072863,0.7517134615224098,0.7173721061116142,-0.03434135541079564
Yb,880,0.36451377404176577,0.36407474868166384,0.00043902536010193005,0.5798276490203315,0.5749764612937897,0.004851187726541806,0.7578459702214897,0.7362666204236754,-0.021579349797814285
