species,kind,canonical_smiles,file,charge,uhf,mode,n_atoms,est_minutes,sha256_input
lig_000,free_ligand,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,ligands/lig_000.xyz,0,0,opt,62,0.9398992615775831,4944a94ae97dfc6f
lig_001,free_ligand,C1COCCOCCOCCOCCOCCO1,ligands/lig_001.xyz,0,0,opt,42,0.4313169348134383,7ccfaf5f0336aed1
lig_002,free_ligand,CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,ligands/lig_002.xyz,0,0,opt,55,0.7396449704142012,782ce77a8b166854
lig_003,free_ligand,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,ligands/lig_003.xyz,0,0,opt,102,2.5438896767568098,4573d33dafa3f818
lig_004,free_ligand,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,ligands/lig_004.xyz,0,0,opt,63,0.9704631033302362,9fb60d11d8e16cfa
lig_005,free_ligand,CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,ligands/lig_005.xyz,0,0,opt,36,0.31688591129150573,279ff680c2815c24
lig_006,free_ligand,CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,ligands/lig_006.xyz,0,0,opt,69,1.1641156046750452,924553e843934b3c
lig_007,free_ligand,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,ligands/lig_007.xyz,0,0,opt,95,2.2067093745415427,c34cc111c23aa923
lig_008,free_ligand,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,ligands/lig_008.xyz,0,0,opt,70,1.1981025967039955,8c160f91ff49d572
lig_009,free_ligand,CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,ligands/lig_009.xyz,0,0,opt,108,2.851973201623551,9f4fa2ac4bd5c3d0
lig_010,free_ligand,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,ligands/lig_010.xyz,0,0,opt,65,1.0330578512396693,e247ca6101345cf7
lig_011,free_ligand,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,ligands/lig_011.xyz,0,0,opt,80,1.5648686977358308,de8b0ff090944c2c
lig_012,free_ligand,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,ligands/lig_012.xyz,0,0,opt,87,1.8507017458066413,c1082fd11fd9987d
lig_013,free_ligand,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,ligands/lig_013.xyz,0,0,opt,58,0.8225341092473959,12be871f3e7cdd16
lig_014,free_ligand,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,ligands/lig_014.xyz,0,0,opt,78,1.4876033057851237,2307cb0abfd3922d
lig_015,free_ligand,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,ligands/lig_015.xyz,0,0,opt,68,1.1306176341141376,542271b7ae2a6081
lig_016,free_ligand,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,ligands/lig_016.xyz,0,0,opt,68,1.1306176341141376,7caaa450f197597d
lig_017,free_ligand,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,ligands/lig_017.xyz,0,0,opt,74,1.33894077950022,4492dab384329916
lig_018,free_ligand,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,ligands/lig_018.xyz,0,0,opt,65,1.0330578512396693,b8f19faf224b9363
lig_019,free_ligand,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,ligands/lig_019.xyz,0,0,opt,71,1.2325786102009877,567046482a0a841a
lig_020,free_ligand,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ligands/lig_020.xyz,0,0,opt,138,4.656462418700181,2f969a7e8376a646
lig_021,free_ligand,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ligands/lig_021.xyz,0,0,opt,119,3.4625165044745465,1c274949eb4a63b3
lig_022,free_ligand,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ligands/lig_022.xyz,0,0,opt,169,6.983471074380167,78d181c1d480fca7
lig_023,free_ligand,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ligands/lig_023.xyz,0,0,opt,113,3.1221575627170033,b859937dfeb84404
lig_024,free_ligand,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,ligands/lig_024.xyz,0,0,opt,70,1.1981025967039955,2fa5c42a25a222e9
lig_025,free_ligand,CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,ligands/lig_025.xyz,0,0,opt,118,3.4045674605115166,e2bad0368ac9a2d4
lig_026,free_ligand,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ligands/lig_026.xyz,0,0,opt,89,1.9367695241821117,fa54a55c20ee28e2
lig_027,free_ligand,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,ligands/lig_027.xyz,0,0,opt,107,2.799403393808988,79ae746ce2093da2
lig_028,free_ligand,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,ligands/lig_028.xyz,0,0,opt,117,3.3471074380165295,883f4661ae907d94
lig_029,free_ligand,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,ligands/lig_029.xyz,0,0,opt,106,2.7473226074624675,284addf10af8e6d3
lig_030,free_ligand,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,ligands/lig_030.xyz,0,0,opt,95,2.2067093745415427,0db09cd8f441cc01
lig_031,free_ligand,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,ligands/lig_031.xyz,0,0,opt,101,2.494253997750501,c06990635bbec85c
lig_032,free_ligand,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,ligands/lig_032.xyz,0,0,opt,107,2.799403393808988,76b6ff8c01f50e1b
